ManagedAreaName|AreaID|ProgramID|ProgramName|ProgramLocationID|SampleDate|SpeciesGroup1|ParameterName|Year|Month|SpeciesRichness
Apalachicola Bay Aquatic Preserve|2|651|Coastal Habitat Integrated Mapping and Monitoring Program (CHIMMP) Pilot Monitoring Data|Apalachicola-A|2020-02-23T00:00:00Z|Marsh|Species Richness|2020|2|1
Apalachicola Bay Aquatic Preserve|2|651|Coastal Habitat Integrated Mapping and Monitoring Program (CHIMMP) Pilot Monitoring Data|Apalachicola-A1|2020-02-23T00:00:00Z|Marsh|Species Richness|2020|2|1
Apalachicola Bay Aquatic Preserve|2|651|Coastal Habitat Integrated Mapping and Monitoring Program (CHIMMP) Pilot Monitoring Data|Apalachicola-B|2020-02-23T00:00:00Z|Marsh|Species Richness|2020|2|1
Apalachicola Bay Aquatic Preserve|2|651|Coastal Habitat Integrated Mapping and Monitoring Program (CHIMMP) Pilot Monitoring Data|Apalachicola-B|2020-02-23T00:00:00Z|Marsh succulents|Species Richness|2020|2|1
Apalachicola Bay Aquatic Preserve|2|651|Coastal Habitat Integrated Mapping and Monitoring Program (CHIMMP) Pilot Monitoring Data|Apalachicola-B2|2020-02-23T00:00:00Z|Marsh succulents|Species Richness|2020|2|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2014-11-03T00:00:00Z|Marsh|Species Richness|2014|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2015-04-06T00:00:00Z|Marsh|Species Richness|2015|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2015-10-12T00:00:00Z|Marsh|Species Richness|2015|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2016-04-04T00:00:00Z|Marsh|Species Richness|2016|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2016-10-03T00:00:00Z|Marsh|Species Richness|2016|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2017-04-17T00:00:00Z|Marsh|Species Richness|2017|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2018-04-23T00:00:00Z|Marsh|Species Richness|2018|4|1
