System|Type|ParameterName|RelativeDepth|ActivityType|SufficientData|N_Data|N_Years|EarliestYear|LatestYear|EarliestSampleDate|LastSampleDate|Median|Independent|tau|p|SennSlope|SennIntercept|ChiSquared|pChiSquared|Trend
Aucilla|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|FALSE|55|6|2010|2021|2010-09-20T09:25:00Z|2021-12-28T09:30:00Z|1.3||||||||
Aucilla|River|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|TRUE|292|26|1993|2023|1993-10-18T00:00:00Z|2023-07-12T13:10:00Z|1|TRUE|-0.2534|0.0000|-0.0185714285714286|1.31875992063492|5.9285|0.8781|-1
Cedar Key|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|TRUE|478|19|1997|2023|1997-04-11T11:27:00Z|2023-07-30T16:05:00Z|12.4|TRUE|0.1993|0.0042|0.217307692307692|8.26972540045767|5.1201|0.9252|1
Econfina|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|FALSE|29|6|2004|2019|2004-07-08T00:00:00Z|2019-10-14T11:45:00Z|4.845||||||||
Econfina|River|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|TRUE|162|17|1990|2023|1990-02-09T18:18:00Z|2023-07-12T12:45:00Z|0.445|TRUE|0.1961|0.0008|0.0044949494949495|0.4|6.7661|0.8177|1
Horseshoe Beach|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|FALSE|240|9|2002|2024|2002-07-30T00:00:00Z|2024-02-08T10:06:00Z|12||||||||
Keaton Beach|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|FALSE|149|9|2010|2024|2010-05-25T14:11:00Z|2024-02-21T11:43:00Z|1.5||||||||
St. Marks|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|FALSE|118|9|2001|2018|2001-04-22T00:00:00Z|2018-11-15T12:40:00Z|3||||||||
St. Marks|River|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|TRUE|2382|28|1996|2023|1996-04-26T00:00:00Z|2023-07-19T11:00:00Z|1|TRUE|0.01|0.7772|0|0.684415873015873|14.704|0.1965|0
Steinhatchee|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|TRUE|230|20|2001|2024|2001-11-15T14:53:00Z|2024-02-21T10:34:00Z|2.3|TRUE|0.1851|0.0446|0.0478385416666667|1.27591145833333|4.9173|0.9351|1
Steinhatchee|River|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|FALSE|60|9|2013|2023|2013-05-29T13:45:00Z|2023-03-23T13:13:00Z|1.3||||||||
Suwanee|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|TRUE|992|27|1990|2024|1990-02-13T11:30:00Z|2024-02-08T09:42:00Z|2.835|TRUE|0.3127|0.0000|0.137035694444444|1.09416465277778|15.6366|0.1552|1
Suwanee|River|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|TRUE|301|28|1990|2023|1990-02-13T12:10:00Z|2023-05-04T11:50:00Z|1.1|TRUE|0.0362|0.4218|0.005|1.079375|8.2025|0.6951|0
Waccasassa|Estuary|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|FALSE|257|9|2016|2024|2016-03-02T09:06:00Z|2024-01-18T10:03:00Z|5.8||||||||
