AreaID|ManagedAreaName|Species|ParameterName|N_Programs|Programs|ProgramIDs|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|LME_Intercept|LME_Slope|p|StatisticalTrend|years
1|Alligator Harbor Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|135|7|2009|2022|TRUE|68.5727|-1.8946|0.053|No significant trend|2009 - 2022
1|Alligator Harbor Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|244|12|2009|2022|TRUE|35.4764|-0.7608|0.5565|No significant trend|2009 - 2022
1|Alligator Harbor Aquatic Preserve|Halophila engelmannii|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|1|1|2012|2012|FALSE||||Insufficient data to calculate trend|
1|Alligator Harbor Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|1599|7|2009|2017|TRUE||||Model did not fit the available data|2009 - 2017
1|Alligator Harbor Aquatic Preserve|Ruppia maritima|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|1|1|2014|2014|FALSE||||Insufficient data to calculate trend|
1|Alligator Harbor Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|772|13|2009|2022|TRUE|53.0228|-1.4229|0.0294|Significantly decreasing trend|2009 - 2022
1|Alligator Harbor Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|655|12|2009|2022|TRUE|12.229|0.3532|0.6096|No significant trend|2009 - 2022
2|Apalachicola Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring|557, 997|79|3|2003|2021|FALSE||||Insufficient data to calculate trend|
2|Apalachicola Bay Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Central Panhandle Aquatic Preserves Seagrass Monitoring|557|161|5|2008|2021|TRUE|-3.2216|2.2314|0.4055|No significant trend|2008 - 2021
2|Apalachicola Bay Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|2|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring|557, 997|65|4|2003|2021|FALSE||||Insufficient data to calculate trend|
2|Apalachicola Bay Aquatic Preserve|Ruppia maritima|Median percent cover (from BB scores)|1|Apalachicola Bay Ephemeral SAV Monitoring|997|50|1|2003|2003|FALSE||||Insufficient data to calculate trend|
3|Apalachicola National Estuarine Research Reserve|Drift algae|Median percent cover (from BB scores)|2|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring|557, 997|97|5|2003|2021|TRUE|80.2279|-2.6458|0.0042|Significantly decreasing trend|2003 - 2021
3|Apalachicola National Estuarine Research Reserve|Halodule wrightii|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|841|10|2008|2021|TRUE|31.1658|0.1687|0.8386|No significant trend|2008 - 2021
3|Apalachicola National Estuarine Research Reserve|Halophila engelmannii|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|1|1|2017|2017|FALSE||||Insufficient data to calculate trend|
3|Apalachicola National Estuarine Research Reserve|No grass In Quadrat|Median percent cover (from BB scores)|3|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558, 997|894|10|2003|2021|TRUE||||Model did not fit the available data|2003 - 2021
3|Apalachicola National Estuarine Research Reserve|Ruppia maritima|Median percent cover (from BB scores)|1|Apalachicola Bay Ephemeral SAV Monitoring|997|50|1|2003|2003|FALSE||||Insufficient data to calculate trend|
3|Apalachicola National Estuarine Research Reserve|Syringodium filiforme|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|44|4|2011|2017|FALSE||||Insufficient data to calculate trend|
