ProgramID|ProgramName|LocationID|ProgramLocationID|QuadIdentifier|ReefIdentifier|LiveDate|LiveDate_Qualifier|SampleDate|Year|Month|ManagedAreaName|Region.x|SurveyMethod|HabitatClassification|QuadSize_m2|MADup|Density_m2|Number_of_Oysters_Counted_Total_Count|Number_of_Oysters_Counted_Live_Count|Number_of_Oysters_Counted_Dead_Count|UniversalReefID|Region.y|MA_plotlab|Subtidal|RelYear|YearDiff|DensIndex|NTotIndex|NLiveIndex|NDeadIndex|Treatment
5063|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|864404|263|197642_864404_2016_11_263|358|2016|Exact|2016-11-14T00:00:00Z|2016|11|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|0.1|1|400|71|40|31|197642||Apalachicola Bay Aquatic Preserve_Natural|FALSE|48|1968|60080|668|330|584|
5063|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|864423|308|197532_864423_2016_11_308|268|2016|Exact|2016-11-15T00:00:00Z|2016|11|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|0.1|1|10|3|1|2|197532||Apalachicola Bay Aquatic Preserve_Natural|FALSE|48|1968|52|52703|669|599|
5063|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|864407|274|197671_864407_2016_11_274|385|2016|Exact|2016-11-14T00:00:00Z|2016|11|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|0.1|1|520|62|52|10|197671||Apalachicola Bay Aquatic Preserve_Natural|FALSE|48|1968|222|1495|1221|1223|
5063|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|935499|341|197314_935499_2016_11_341|104|2016|Exact|2016-11-16T00:00:00Z|2016|11|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|0.1|1|0|5|0|5|197314||Apalachicola Bay Aquatic Preserve_Natural|FALSE|48|1968|1216|126192|834|1322|
5073|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|939586|FLAO60-D0823-T1550006-03Q|171451_939586_2013_8_FLAO60-D0823-T1550006-03Q|OYS-PIA2-FL-6|2013|Exact|2013-08-23T00:00:00Z|2013|8|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|1|1|0||0||171451||Apalachicola Bay Aquatic Preserve_Natural|TRUE|45|1968|2480||16758||
5073|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|939536|FLAN60-B1109-T2950007-02Q|939536_939536_2011_11_FLAN60-B1109-T2950007-02Q|OYS-PIA2-FL-7|2011|Exact|2011-11-09T00:00:00Z|2011|11|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|1|1|25||41||939536||Apalachicola Bay Aquatic Preserve_Natural|TRUE|43|1968|2477||2455||
5073|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|939536|FLAN60-B1109-T2950007-02Q|939536_939536_2011_11_FLAN60-B1109-T2950007-02Q|OYS-PIA2-FL-7|2011|Exact|2011-11-09T00:00:00Z|2011|11|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|1|1|25||0||939536||Apalachicola Bay Aquatic Preserve_Natural|TRUE|43|1968|2477||2478||
5073|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|939536|FLAN60-B1109-T2950007-02Q|939536_939536_2011_11_FLAN60-B1109-T2950007-02Q|OYS-PIA2-FL-7|2011|Exact|2011-11-09T00:00:00Z|2011|11|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|1|1|41||0||939536||Apalachicola Bay Aquatic Preserve_Natural|TRUE|43|1968|3229||2478||
5073|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|939586|FLAO60-D0823-T1550006-03Q|171451_939586_2013_8_FLAO60-D0823-T1550006-03Q|OYS-PIA2-FL-6|2013|Exact|2013-08-23T00:00:00Z|2013|8|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|1|1|1||0||171451||Apalachicola Bay Aquatic Preserve_Natural|TRUE|45|1968|3234||16758||
5063|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|935528|456|197642_935528_2016_11_456|358|2016|Exact|2016-11-14T00:00:00Z|2016|11|Apalachicola Bay Aquatic Preserve|NW|Random Quadrat|Natural|0.1|1|0|0|0|0|197642||Apalachicola Bay Aquatic Preserve_Natural|FALSE|48|1968|3669|25965|16800|19564|
