AreaID|ManagedAreaName|ParameterName|ShellType|SizeClass|HabitatType|N_Years|SufficientData|EarliestLiveDate|LatestLiveDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|6|TRUE|2010|2016|2016-11-16T00:00:00Z|235|0|990|1|39.6553191489362|120.494974198328|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063, 5073
3|Apalachicola National Estuarine Research Reserve|Density_m2|Live Oyster Shells||Natural|7|TRUE|2010|2019|2019-12-16T00:00:00Z|367|0|3552|1|131.656675749319|406.054630167817|Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063, 5073, 5075
8|Boca Ciega Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|30|0|2432|664|748.8|510.020310616528|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
14|Estero Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|9|TRUE|2014|2022|2022-02-01T00:00:00Z|253|0|6768|576|729.533596837945|860.953202285411|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Restored|1|FALSE|2020|2020|2020-03-04T00:00:00Z|30|0|1920|176|413.733333333333|517.236885191204|SCCF Oyster Restoration Monitoring|4012
19|Guana River Marsh Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|289|0|6848|1120|1353.57785467128|1058.76046580533|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Density_m2|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|730|0|11104|1144|1439.12328767123|1241.83314149236|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|5|TRUE|2017|2022|2022-08-08T00:00:00Z|90|0|736|192|206.044444444444|185.815415907867|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|7|TRUE|2016|2023|2023-05-17T00:00:00Z|434|0|672|96|157.677419354839|159.381446081367|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|5|TRUE|2016|2021|2021-06-30T00:00:00Z|69|0|688|64|113.391304347826|146.275849137582|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
25|Lemon Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|13|TRUE|2007|2022|2022-12-28T00:00:00Z|396|0|3968|880|963.353535353535|743.483627981193|Sarasota County Comprehensive Oyster Monitoring Program|972
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|2|FALSE|2003|2008|2008-09-12T00:00:00Z|167|0|3604|30|126.622754491018|405.032686718541|Loxahatchee River Oyster Mapping and Recruitment|4014
29|Mosquito Lagoon Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|2|FALSE|2015|2016|2016-06-05T00:00:00Z|170|48|2928|808|986.541176470588|630.970878704997|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|5017
30|Nassau River-St. Johns River Marshes Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|1|FALSE|2016|2016|2016-07-25T00:00:00Z|42|80|2416|552|778.666666666667|609.453120175012|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|5017
34|Pine Island Sound Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|9|TRUE|2015|2023|2023-03-15T00:00:00Z|108|0|2976|152|403.231481481482|534.296193652038|SCCF Oyster Restoration Monitoring|4012
34|Pine Island Sound Aquatic Preserve|Density_m2|Live Oyster Shells||Restored|9|TRUE|2015|2023|2023-03-15T00:00:00Z|61|0|2048|112|373.180327868853|576.271999094083|SCCF Oyster Restoration Monitoring|4012
35|Pinellas County Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|40|0|3920|768|1068|892.636544176856|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
43|St. Martins Marsh Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|1|FALSE|2018|2018|2018-03-28T00:00:00Z|6|464|1792|1452|1320|494.649775093449|Assessment of Oysters and Barnacles Along the Chassahowitzka, Homosassa, and Lower Withlacoochee River Systems|5074
45|Tomoka Marsh Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|1|FALSE|2015|2015|2015-07-17T00:00:00Z|5|0|64|32|28.8|23.7318351587061|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|5017
47|Yellow River Marsh Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|1|FALSE|2013|2013|2013-02-19T00:00:00Z|9|0|6|1|1.66666666666667|2.06155281280883|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
