AreaID|ManagedAreaName|Year|ParameterName|ShellType|SizeClass|HabitatType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|2010|Density_m2|Live Oyster Shells||Natural|34|0|772|12|64.7352941176471|141.943076260858|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2011|Density_m2|Live Oyster Shells||Natural|31|0|41|3|11.1290322580645|14.176840116857|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2012|Density_m2|Live Oyster Shells||Natural|30|0|147|3|20.4333333333333|38.0731449688109|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2013|Density_m2|Live Oyster Shells||Natural|22|0|42|0|4.04545454545455|9.47416171804874|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2014|Density_m2|Live Oyster Shells||Natural|29|0|97|1|14.8620689655172|27.2288241941343|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2016|Density_m2|Live Oyster Shells||Natural|89|0|990|0|63.3707865168539|168.832513969431|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063
3|Apalachicola National Estuarine Research Reserve|2010|Density_m2|Live Oyster Shells||Natural|45|0|772|4|59.7777777777778|135.136107968106|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
3|Apalachicola National Estuarine Research Reserve|2011|Density_m2|Live Oyster Shells||Natural|36|0|41|2|9.63888888888889|13.6573429287331|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
3|Apalachicola National Estuarine Research Reserve|2012|Density_m2|Live Oyster Shells||Natural|37|0|147|1|17|34.9555273009704|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
3|Apalachicola National Estuarine Research Reserve|2013|Density_m2|Live Oyster Shells||Natural|36|0|290|1|16.5277777777778|50.0716550048092|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
3|Apalachicola National Estuarine Research Reserve|2014|Density_m2|Live Oyster Shells||Natural|40|0|99|2.5|20.375|31.714825053989|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
3|Apalachicola National Estuarine Research Reserve|2016|Density_m2|Live Oyster Shells||Natural|161|0|2670|0|215.217391304348|490.363496495867|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063
3|Apalachicola National Estuarine Research Reserve|2019|Density_m2|Live Oyster Shells||Natural|12|0|3552|96|716|1105.48779854292|Apalachicola Bay Intertidal Oyster Sampling|5075
8|Boca Ciega Bay Aquatic Preserve|2017|Density_m2|Live Oyster Shells||Natural|15|32|1728|592|662.4|418.838666519017|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
8|Boca Ciega Bay Aquatic Preserve|2018|Density_m2|Live Oyster Shells||Natural|15|0|2432|848|835.2|589.405899432398|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
14|Estero Bay Aquatic Preserve|2014|Density_m2|Live Oyster Shells||Natural|9|0|1062|387|369|394.000634517256|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2015|Density_m2|Live Oyster Shells||Natural|10|333|2288|944.5|1067.5|613.168501401622|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2016|Density_m2|Live Oyster Shells||Natural|29|0|1744|640|633.379310344828|467.680325328645|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2017|Density_m2|Live Oyster Shells||Natural|5|16|1472|464|582.4|611.003109648388|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2018|Density_m2|Live Oyster Shells||Natural|45|0|5152|448|763.733333333333|978.954692980779|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2019|Density_m2|Live Oyster Shells||Natural|40|0|6768|368|691.2|1134.58749309482|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2020|Density_m2|Live Oyster Shells||Natural|35|32|4896|624|888.685714285714|890.507052237114|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2020|Density_m2|Live Oyster Shells||Restored|30|0|1920|176|413.733333333333|517.236885191204|SCCF Oyster Restoration Monitoring|4012
14|Estero Bay Aquatic Preserve|2021|Density_m2|Live Oyster Shells||Natural|40|16|3984|600|784.8|902.467136982468|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2022|Density_m2|Live Oyster Shells||Natural|40|0|3904|480|619.6|700.916206265149|Estero Bay Oyster Monitoring|4042
19|Guana River Marsh Aquatic Preserve|2014|Density_m2|Live Oyster Shells||Natural|20|304|4192|1192|1555.2|1033.46415923391|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2015|Density_m2|Live Oyster Shells||Natural|92|64|4976|1144|1312.34782608696|918.655424942041|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2016|Density_m2|Live Oyster Shells||Natural|138|0|6848|984|1300.98550724638|1209.4434081232|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
19|Guana River Marsh Aquatic Preserve|2018|Density_m2|Live Oyster Shells||Natural|27|256|3168|1376|1489.77777777778|774.057309214711|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2020|Density_m2|Live Oyster Shells||Natural|12|480|2704|1800|1632|797.289955240421|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2014|Density_m2|Live Oyster Shells||Natural|52|304|4192|1144|1399.38461538462|882.176056277021|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|Density_m2|Live Oyster Shells||Natural|247|64|11104|1104|1459.88663967611|1405.19359084348|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|Density_m2|Live Oyster Shells||Natural|371|0|8448|1104|1385.22911051213|1187.96372627032|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2018|Density_m2|Live Oyster Shells||Natural|42|256|7440|1464|1681.90476190476|1220.2912848893|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2020|Density_m2|Live Oyster Shells||Natural|18|480|2864|1840|1813.33333333333|740.101105970545|Guana Tolomato Matanzas NERR Oyster monitoring|4000
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2017|Density_m2|Live Oyster Shells||Natural|15|16|592|256|266.666666666667|158.584212268915|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2018|Density_m2|Live Oyster Shells||Natural|15|32|736|304|358.4|197.242707632718|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2019|Density_m2|Live Oyster Shells||Natural|15|0|720|176|260.266666666667|213.163742114791|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2021|Density_m2|Live Oyster Shells||Natural|30|0|448|32|98.1333333333333|123.202030137028|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2022|Density_m2|Live Oyster Shells||Natural|15|0|416|144|154.666666666667|137.193641390901|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2016|Density_m2|Live Oyster Shells||Natural|9|64|544|176|193.777777777778|146.083689864558|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2017|Density_m2|Live Oyster Shells||Natural|60|0|544|104|164.266666666667|167.780108987184|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2018|Density_m2|Live Oyster Shells||Natural|80|0|640|192|215.8|158.043608787198|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2019|Density_m2|Live Oyster Shells||Natural|105|0|672|96|179.961904761905|191.933077470003|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2021|Density_m2|Live Oyster Shells||Natural|75|0|432|48|103.253333333333|126.867785331639|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2022|Density_m2|Live Oyster Shells||Natural|60|0|352|72|101.6|99.6732288148271|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2023|Density_m2|Live Oyster Shells||Natural|45|0|448|112|151.822222222222|137.916853886168|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|2016|Density_m2|Live Oyster Shells||Natural|9|0|128|64|62.2222222222222|45.5680199750268|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|2017|Density_m2|Live Oyster Shells||Natural|15|16|688|176|242.133333333333|210.609274882819|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|2018|Density_m2|Live Oyster Shells||Natural|15|0|320|128|114.133333333333|110.333175082608|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|2019|Density_m2|Live Oyster Shells||Natural|15|0|384|96|121.6|119.702488337903|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|2021|Density_m2|Live Oyster Shells||Natural|15|0|32|0|6.4|10.1192885125388|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
25|Lemon Bay Aquatic Preserve|2007|Density_m2|Live Oyster Shells||Natural|36|48|3056|1152|1296|758.676742756755|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2008|Density_m2|Live Oyster Shells||Natural|24|64|2592|1232|1213.33333333333|656.596406158083|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2009|Density_m2|Live Oyster Shells||Natural|36|16|2144|560|731.555555555556|628.474636126207|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2010|Density_m2|Live Oyster Shells||Natural|36|0|2992|1160|1329.77777777778|992.09420955619|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2011|Density_m2|Live Oyster Shells||Natural|36|0|2608|1104|1008.44444444444|673.96161164287|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2013|Density_m2|Live Oyster Shells||Natural|36|0|3968|704|913.333333333333|882.223683977838|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2014|Density_m2|Live Oyster Shells||Natural|36|48|2384|920|979.111111111111|595.527030826011|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2015|Density_m2|Live Oyster Shells||Natural|36|48|2448|768|859.555555555556|539.580177780808|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2016|Density_m2|Live Oyster Shells||Natural|36|32|2960|600|792.444444444445|680.796694823454|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2017|Density_m2|Live Oyster Shells||Natural|12|128|3600|1392|1485.33333333333|1116.06234212751|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2020|Density_m2|Live Oyster Shells||Natural|15|48|2176|576|707.2|531.940275917191|Sarasota County Comprehensive Oyster Monitoring Program|972
25|Lemon Bay Aquatic Preserve|2021|Density_m2|Live Oyster Shells||Natural|30|48|1664|744|685.866666666667|478.170921203974|Sarasota County Comprehensive Oyster Monitoring Program|972
