AreaID,ManagedAreaName,ParameterName,SizeClass,HabitatType,ShellType,Intercept,ModelEstimate,StandardError,LowerConfidence,UpperConfidence
2,Apalachicola Bay Aquatic Preserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,38.9660751809751,-0.0717097411459789,0.0262629713689923,-0.125760489153627,-0.0213358758678491
3,Apalachicola National Estuarine Research Reserve,Shell Height,25-75mm,Natural,Live Oysters,41.6513862155038,-0.556255449499605,1.61360070221348,-3.81363063857184,2.33468382926847
3,Apalachicola National Estuarine Research Reserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,42.1323052901168,-0.129913594779465,0.0200855817604661,-0.168566177184482,-0.0905973169450133
3,Apalachicola National Estuarine Research Reserve,Shell Height,>75mm,Natural,Dead Oyster Shells,85.6492698952164,-0.0698636832754225,0.0771718495840426,-0.208933544696515,0.089294111320222
5,Big Bend Seagrasses Aquatic Preserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,39.4993604050104,0.00132947807946375,0.013423603559657,-0.0262628913302158,0.0263516033884518
5,Big Bend Seagrasses Aquatic Preserve,Shell Height,>75mm,Natural,Dead Oyster Shells,86.2655595935282,0.11709741249286,0.0501908136804997,0.0185435572762989,0.217387731938346
14,Estero Bay Aquatic Preserve,Shell Height,25-75mm,Natural,Live Oysters,42.7657327434366,-0.348229801059717,0.0703019260876126,-0.492037990602875,-0.212425187302778
14,Estero Bay Aquatic Preserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,41.1029642486955,0.0220226215744447,0.0161505204292233,-0.00930065221500163,0.0533562188779686
14,Estero Bay Aquatic Preserve,Shell Height,>75mm,Natural,Live Oysters,84.5791275783105,-0.0421659530043463,0.351763658165385,-0.710834439302929,0.680952254311819
14,Estero Bay Aquatic Preserve,Shell Height,>75mm,Natural,Dead Oyster Shells,86.6116694741046,-0.0549186014482316,0.04507640556173,-0.139929292301864,0.0357256126045914
19,Guana River Marsh Aquatic Preserve,Shell Height,25-75mm,Natural,Live Oysters,44.62566500879,0.104395811465971,0.0495286828993965,0.00778034586754099,0.19877454695189
19,Guana River Marsh Aquatic Preserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,46.1525977759545,0.306992048523543,2.69237162872148,0.0436644757259124,0.464466523015208
19,Guana River Marsh Aquatic Preserve,Shell Height,>75mm,Natural,Live Oysters,88.9266522062723,0.0648130211148214,0.0940615411154434,-0.114638868303057,0.252296520895958
19,Guana River Marsh Aquatic Preserve,Shell Height,>75mm,Natural,Dead Oyster Shells,88.3144736202281,0.541249671525157,0.150887466359617,0.24151998280415,0.824342526163494
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Shell Height,25-75mm,Natural,Live Oysters,43.3280441398852,0.290757104856318,0.0270184404001433,0.238931304072728,0.343587626328263
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,40.9256312288762,0.0426915704913074,0.0525081795145584,-0.0025094783408372,0.0823868431082906
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Shell Height,>75mm,Natural,Live Oysters,88.3365176422465,0.185260781561948,0.0619309581687594,0.0628656198813875,0.310094354080148
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Shell Height,>75mm,Natural,Dead Oyster Shells,86.1253409292611,0.149433982354904,0.0667136106639094,0.00277191831436942,0.265928828739236
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Shell Height,25-75mm,Natural,Live Oysters,41.967911478707,0.600951795436004,0.339359747477697,-0.0676411669774602,1.27910313036487
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Shell Height,25-75mm,Natural,Live Oysters,45.0178616706729,-0.0464457127697832,0.115759536645762,-0.270744052968751,0.188621464543647
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,41.9423950485109,-0.0957805268641901,0.126497655036408,-0.146411896775558,-0.0397793104557509
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Shell Height,>75mm,Natural,Live Oysters,87.1062969675792,-0.504498840101839,0.326830251709121,-1.16553555471112,0.130950240077453
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Shell Height,>75mm,Natural,Dead Oyster Shells,95.9108031994914,-0.255650391748107,0.0859326157127092,-0.440830997369208,-0.0986982525793602
25,Lemon Bay Aquatic Preserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,39.5175415655709,0.0254111867800364,0.0137331078267086,-0.00183946066846586,0.051551573428465
25,Lemon Bay Aquatic Preserve,Shell Height,>75mm,Natural,Dead Oyster Shells,82.6778824346797,0.0091294213251125,0.057844711152439,-0.107939507437285,0.124095442235747
34,Pine Island Sound Aquatic Preserve,Shell Height,25-75mm,Natural,Live Oysters,45.6454783576358,-0.532933130200388,0.0886714715984896,-0.708004230716281,-0.355554016088574
34,Pine Island Sound Aquatic Preserve,Shell Height,>75mm,Natural,Live Oysters,83.2690704490288,-0.0981957526934971,0.276077370450405,-0.601771971809989,0.457392591226243
34,Pine Island Sound Aquatic Preserve,Shell Height,25-75mm,Restored,Live Oysters,43.0317068238282,-0.929690672592151,0.997657137761666,-1.34154182661581,-0.47398369935232
34,Pine Island Sound Aquatic Preserve,Shell Height,>75mm,Restored,Live Oysters,84.0918277396765,6.05823778970689,2.55708566895676,1.37698371981007,11.1770579114602
47,Yellow River Marsh Aquatic Preserve,Shell Height,25-75mm,Restored,Live Oysters,30.2863277169056,0.330038809974366,0.0767760168906248,0.17668848741556,0.483491193675861
2,Apalachicola Bay Aquatic Preserve,Density,,Natural,Live Oysters,165.276669067005,-20.881652364405,42.9212905182776,-114.542234676062,7.93991831670014
2,Apalachicola Bay Aquatic Preserve,Density,,Restored,Live Oysters,102.106551808736,-3.00152634188584,2.76636085492195,-7.4749606238209,2.99915970478647
3,Apalachicola National Estuarine Research Reserve,Density,,Natural,Live Oysters,153.904109274595,5.28757213046676,23.3893209492487,-46.4115117495853,47.1149169129735
3,Apalachicola National Estuarine Research Reserve,Density,,Restored,Live Oysters,181.55634338809,-5.23738207581551,5.24497412440378,-14.1428123239391,5.93331577908178
14,Estero Bay Aquatic Preserve,Density,,Natural,Live Oysters,745.666947437516,4.28018706328471,15.7274075529021,-28.3960820484657,35.004838665066
19,Guana River Marsh Aquatic Preserve,Density,,Natural,Live Oysters,1591.19751956655,-84.7765088788529,16.2666581125129,-120.237039003667,-55.7014116607241
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Density,,Natural,Live Oysters,2005.07412711115,-126.591598353753,11.9866621436427,-151.488409324847,-104.851095463733
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Density,,Natural,Live Oysters,1380.62122933049,-176.639343389681,325.062729253766,-768.054850167599,126.631515035915
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Density,,Natural,Live Oysters,789.150475900615,-61.202703803022,24.3284439781192,-116.808098703073,-22.4164437845419
25,Lemon Bay Aquatic Preserve,Density,,Natural,Live Oysters,1322.1998418254,-29.1644802321879,11.2070014616053,-48.0462844244265,-5.56407888293978
34,Pine Island Sound Aquatic Preserve,Density,,Natural,Live Oysters,274.336660437506,17.882112888606,15.2704493856814,-8.34476822146525,51.7997801022434
34,Pine Island Sound Aquatic Preserve,Density,,Restored,Live Oysters,825.975235174139,-65.9106066413041,23.7363960515205,-120.243240873413,-30.4834872556024
47,Yellow River Marsh Aquatic Preserve,Density,,Restored,Live Oysters,72.6497297352554,11.1429018905372,10.1081292417199,-4.61971389727826,35.8658152767745
2,Apalachicola Bay Aquatic Preserve,Percent Live,,Natural,Live Oysters,-1.73453659986568,2.36913219312726,0.33385301930287,1.71958874482113,3.01805249958935
2,Apalachicola Bay Aquatic Preserve,Percent Live,,Restored,Live Oysters,62.3347307147941,-1.76949856966903,0.346680737930384,-2.4742972597013,-1.09336367266189
3,Apalachicola National Estuarine Research Reserve,Percent Live,,Natural,Live Oysters,3.4147243604378,1.33396929615884,0.275616946385805,0.797119102539495,1.88439444801481
3,Apalachicola National Estuarine Research Reserve,Percent Live,,Restored,Live Oysters,68.1553272355845,-1.40472188305306,0.291291858045878,-1.97230846307257,-0.844399808784482
14,Estero Bay Aquatic Preserve,Percent Live,,Natural,Live Oysters,33.0246796203234,-1.14172530685146,0.412992272088974,-1.95598171187428,-0.347404565497738
19,Guana River Marsh Aquatic Preserve,Percent Live,,Natural,Live Oysters,25.6143630740333,-0.0217595364392729,0.10425597453754,-0.226092100489601,0.178108652032213
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Percent Live,,Natural,Live Oysters,25.7337403366296,-0.468093138436193,0.0611716354995235,-0.591250904462959,-0.347581085944258
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Percent Live,,Natural,Live Oysters,24.8811412663515,-3.38731022167478,0.763119131024734,-4.86473278607223,-1.86361137674068
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Percent Live,,Natural,Live Oysters,20.0741500777469,-1.78508080668475,0.15777601591175,-2.09062488832441,-1.47795280300835
23,Jensen Beach to Jupiter Inlet Aquatic Preserve,Percent Live,,Natural,Live Oysters,14.1425215974964,-2.30813704098021,0.783011515493092,-3.81912193150032,-0.747129331649825
25,Lemon Bay Aquatic Preserve,Percent Live,,Natural,Live Oysters,69.7071571601205,-0.540340727772189,0.16661378215963,-0.862825618358935,-0.210160515390894
34,Pine Island Sound Aquatic Preserve,Percent Live,,Natural,Live Oysters,45.2301814904988,6.15035579352842,1.66137654056628,2.7808635888116,9.35026955333193
34,Pine Island Sound Aquatic Preserve,Percent Live,,Restored,Live Oysters,45.3440148673319,4.36382237079475,1.5144279104682,1.28788628657169,7.38951214845499
47,Yellow River Marsh Aquatic Preserve,Percent Live,,Restored,Live Oysters,55.1111897744356,6.75295725783273,1.80769460692198,3.23634486817073,10.427622235462
