AreaID,ManagedAreaName,ParameterName,SizeClass,HabitatType,ShellType,N_Years,SufficientData,EarliestLiveDate,LatestLiveDate,LastSampleDate,N_Data,Min,Max,Median,Mean,StandardDeviation,Programs,ProgramIDs,Intercept,ModelEstimate,StandardError,LowerConfidence,UpperConfidence,TrendIcon,TrendText
2,Apalachicola Bay Aquatic Preserve,Density,,Natural,Live Oysters,6,TRUE,2010,2016,2016-11-16T00:00:00Z,235,0,990,1,39.6553191489362,120.494974198328,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery","5063, 5073",165.276669067005,-20.881652364405,42.9212905182776,-114.542234676062,7.93991831670014,0,No detectable trend
2,Apalachicola Bay Aquatic Preserve,Density,,Restored,Live Oysters,7,TRUE,2016,2023,2023-08-15T00:00:00Z,2550,0,1380,8,67.2956862745098,140.182785810676,"NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007",102.106551808736,-3.00152634188584,2.76636085492195,-7.4749606238209,2.99915970478647,0,No detectable trend
2,Apalachicola Bay Aquatic Preserve,Percent Live,,Natural,Live Oysters,6,TRUE,2018,2024,2024-01-29T00:00:00Z,184,0,71,0,6.19565217391304,11.9532231567323,Apalachicola Intertidal Oyster Project,5010,-1.73453659986568,2.36913219312726,0.33385301930287,1.71958874482113,3.01805249958935,1,Increasing trend
2,Apalachicola Bay Aquatic Preserve,Percent Live,,Restored,Live Oysters,7,TRUE,2016,2023,2023-08-15T00:00:00Z,2449,0,100,75,56.0621471537158,42.6455649579741,"NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007",62.3347307147941,-1.76949856966903,0.346680737930384,-2.4742972597013,-1.09336367266189,-1,Decreasing trend
2,Apalachicola Bay Aquatic Preserve,Shell Height,"",Natural,Dead Oyster Shells,10,TRUE,1621,2002,2018-10-03T22:39:30Z,488,7.55,24.98,21.82,21.3472336065574,3.01121564179892,Historical Oyster Body Size (HOBS) Study,5035,,,,,,0,No detectable trend
2,Apalachicola Bay Aquatic Preserve,Shell Height,>75mm,Natural,Dead Oyster Shells,5,TRUE,1621,1993,2018-10-03T22:39:30Z,16,75.94,106.17,82.77,85.545625,8.68893546893596,Historical Oyster Body Size (HOBS) Study,5035,,,,,,0,No detectable trend
2,Apalachicola Bay Aquatic Preserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,10,TRUE,1621,2002,2018-10-03T22:39:30Z,1460,25,74.6,35.435,37.7455616438356,10.1468715619389,Historical Oyster Body Size (HOBS) Study,5035,38.9751698958157,-0.0720597548980287,0.0263076163513257,-0.122560015032504,-0.0194507384833686,-1,Decreasing trend
2,Apalachicola Bay Aquatic Preserve,Shell Height,"",Natural,Live Oysters,4,FALSE,2013,2017,2017-08-29T00:00:00Z,437,2,24,15,14.1183066361556,5.02974490637346,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle","5063, 5071, 5073",,,,,,2,Insufficient data
2,Apalachicola Bay Aquatic Preserve,Shell Height,"",Restored,Live Oysters,34,TRUE,1982,2023,2023-08-15T00:00:00Z,57079,0,24,15,15.2007042870408,5.11527773339561,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,,0,No detectable trend
2,Apalachicola Bay Aquatic Preserve,Shell Height,>75mm,Natural,Live Oysters,3,FALSE,2013,2016,2016-11-15T00:00:00Z,21,75,133,84,87.0952380952381,13.4532700928241,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery","5063, 5073",,,,,,2,Insufficient data
2,Apalachicola Bay Aquatic Preserve,Shell Height,>75mm,Restored,Live Oysters,37,TRUE,1982,2023,2023-08-09T00:00:00Z,19751,75,170,80,84.8538301858134,10.0476712025602,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,,0,No detectable trend
2,Apalachicola Bay Aquatic Preserve,Shell Height,25-75mm,Natural,Live Oysters,4,FALSE,2013,2017,2017-08-29T00:00:00Z,256,25,74,40,42.195703125,11.7769141524704,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle","5063, 5071, 5073",,,,,,2,Insufficient data
2,Apalachicola Bay Aquatic Preserve,Shell Height,25-75mm,Restored,Live Oysters,37,TRUE,1982,2023,2023-08-09T00:00:00Z,121890,25,74,40,43.7857002215112,14.4096635204324,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Density,,Natural,Live Oysters,7,TRUE,2010,2019,2019-12-16T00:00:00Z,367,0,3552,1,131.656675749319,406.054630167817,"Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery","5063, 5073, 5075",153.904109274595,5.28757213046676,23.3893209492487,-46.4115117495853,47.1149169129735,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Density,,Restored,Live Oysters,7,TRUE,2016,2023,2023-08-15T00:00:00Z,3270,0,1380,24,103.440978593272,155.93975088687,"NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007",181.55634338809,-5.23738207581551,5.24497412440378,-14.1428123239391,5.93331577908178,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Percent Live,,Natural,Live Oysters,6,TRUE,2018,2024,2024-01-29T00:00:00Z,294,0,71,3,7.35374149659864,11.6518335407469,"Apalachicola Bay Intertidal Oyster Sampling, Apalachicola Intertidal Oyster Project","5010, 5075",3.4147243604378,1.33396929615884,0.275616946385805,0.797119102539495,1.88439444801481,1,Increasing trend
3,Apalachicola National Estuarine Research Reserve,Percent Live,,Restored,Live Oysters,7,TRUE,2016,2023,2023-08-15T00:00:00Z,3166,0,100,84.8484848,63.2407642355812,40.3647011068837,"NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007",68.1553272355845,-1.40472188305306,0.291291858045878,-1.97230846307257,-0.844399808784482,-1,Decreasing trend
3,Apalachicola National Estuarine Research Reserve,Shell Height,"",Natural,Dead Oyster Shells,20,TRUE,,,2018-10-03T22:39:30Z,1259,4.47,86.12,22.39,24.5033598093725,10.6434319703803,Historical Oyster Body Size (HOBS) Study,5035,,,,,,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Shell Height,>75mm,Natural,Dead Oyster Shells,14,TRUE,1581,2011,2018-10-03T22:39:30Z,75,75.34,115.35,82.19,84.79,8.96946155243115,Historical Oyster Body Size (HOBS) Study,5035,85.6897788063191,-0.0730549385654545,0.0782580492585054,-0.20681756732402,0.0928154424535052,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,20,TRUE,1581,2011,2018-10-03T22:39:30Z,2788,25,74.68,37.155,39.899974892396,11.6807935593701,Historical Oyster Body Size (HOBS) Study,5035,42.1304920556616,-0.129526657258126,0.0198298346281326,-0.168379428458696,-0.0907735640601182,-1,Decreasing trend
3,Apalachicola National Estuarine Research Reserve,Shell Height,"",Natural,Live Oysters,5,TRUE,2013,2019,2019-12-17T00:00:00Z,1383,2,24.1,14,14.1592190889371,5.23381662245569,"Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle","5063, 5071, 5073, 5075",,,,,,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Shell Height,"",Restored,Live Oysters,37,TRUE,1982,2023,2023-08-15T00:00:00Z,128269,0,24,15,15.9044585987261,4.78218305804278,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Shell Height,>75mm,Natural,Live Oysters,4,FALSE,2013,2017,2017-08-29T00:00:00Z,36,75,133,84,86.2111111111111,10.8976479186442,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle","5063, 5071, 5073",,,,,,2,Insufficient data
3,Apalachicola National Estuarine Research Reserve,Shell Height,>75mm,Restored,Live Oysters,37,TRUE,1982,2023,2023-08-09T00:00:00Z,36418,75,170,80,84.2019056510517,9.68989814358806,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Shell Height,25-75mm,Natural,Live Oysters,5,TRUE,2013,2019,2019-12-17T00:00:00Z,723,25,74,38,39.5919778699862,11.2916090160462,"Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle","5063, 5071, 5073, 5075",41.6513862155038,-0.556255449499605,1.61360070221348,-3.81363063857184,2.33468382926847,0,No detectable trend
3,Apalachicola National Estuarine Research Reserve,Shell Height,25-75mm,Restored,Live Oysters,37,TRUE,1982,2023,2023-08-09T00:00:00Z,247979,25,74,40,43.7293440170337,14.2924770746107,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,,0,No detectable trend
5,Big Bend Seagrasses Aquatic Preserve,Shell Height,"",Natural,Dead Oyster Shells,9,TRUE,1959,2011,2018-10-05T20:54:58Z,1006,7.7,24.99,21.27,20.5236083499006,3.45848389434628,Historical Oyster Body Size (HOBS) Study,5035,,,,,,0,No detectable trend
5,Big Bend Seagrasses Aquatic Preserve,Shell Height,>75mm,Natural,Dead Oyster Shells,9,TRUE,1959,2011,2018-10-05T20:54:58Z,159,75.1,138.49,85.02,88.6747169811321,12.7039449076601,Historical Oyster Body Size (HOBS) Study,5035,86.2713949323392,0.117048941552461,0.0511607102365428,0.0158066993292104,0.219284418466566,1,Increasing trend
5,Big Bend Seagrasses Aquatic Preserve,Shell Height,25-75mm,Natural,Dead Oyster Shells,9,TRUE,1959,2011,2018-10-05T20:54:58Z,2012,25,74.84,35.845,39.5530715705765,12.3784675499425,Historical Oyster Body Size (HOBS) Study,5035,39.5045166656717,0.000802105867680651,0.0131577881471281,-0.0254539375803098,0.0257171780887329,0,No detectable trend
5,Big Bend Seagrasses Aquatic Preserve,Shell Height,"",Natural,Live Oysters,1,FALSE,2021,2021,2021-12-31T00:00:00Z,231,4,24,16,15.9350649350649,5.21953936582696,Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data,4020,,,,,,2,Insufficient data
5,Big Bend Seagrasses Aquatic Preserve,Shell Height,>75mm,Natural,Live Oysters,1,FALSE,2021,2021,2021-12-31T00:00:00Z,9,76,91,83,82.5555555555556,4.8762462794426,Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data,4020,,,,,,2,Insufficient data
5,Big Bend Seagrasses Aquatic Preserve,Shell Height,25-75mm,Natural,Live Oysters,1,FALSE,2021,2021,2021-12-31T00:00:00Z,462,25,73,40,42.1450216450216,12.2280644766667,Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data,4020,,,,,,2,Insufficient data
8,Boca Ciega Bay Aquatic Preserve,Density,,Natural,Live Oysters,2,FALSE,2017,2018,2018-12-31T00:00:00Z,30,0,2432,664,748.8,510.020310616528,Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data,4020,,,,,,2,Insufficient data
8,Boca Ciega Bay Aquatic Preserve,Percent Live,,Natural,Live Oysters,2,FALSE,2017,2018,2018-12-31T00:00:00Z,30,0,49,20.45455,22.7888893333333,14.0485665976024,Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data,4020,,,,,,2,Insufficient data
8,Boca Ciega Bay Aquatic Preserve,Shell Height,"",Natural,Live Oysters,2,FALSE,2017,2018,2018-12-31T00:00:00Z,388,4,24,17,15.8711340206186,5.41448833981495,Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data,4020,,,,,,2,Insufficient data
