AreaID|ManagedAreaName|ParameterName|ShellType|SizeClass|HabitatType|N_Years|SufficientData|EarliestLiveDate|LatestLiveDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|6|TRUE|2018|2024|2024-01-29T00:00:00Z|184|0|71|0|6.19565217391304|11.9532231567323|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|PercentLive_pct|Live Oysters||Restored|7|TRUE|2016|2023|2023-08-15T00:00:00Z|2449|0|100|75|56.0621471537158|42.6455649579741|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|PercentLive_pct|Live Oysters||Natural|6|TRUE|2018|2024|2024-01-29T00:00:00Z|294|0|71|3|7.35374149659864|11.6518335407469|Apalachicola Bay Intertidal Oyster Sampling, Apalachicola Intertidal Oyster Project|5010, 5075
3|Apalachicola National Estuarine Research Reserve|PercentLive_pct|Live Oysters||Restored|7|TRUE|2016|2023|2023-08-15T00:00:00Z|3166|0|100|84.8484848|63.2407642355812|40.3647011068837|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
8|Boca Ciega Bay Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|30|0|49|20.45455|22.7888893333333|14.0485665976024|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
9|Cape Haze Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|1|FALSE|2024|2024|2024-04-10T00:00:00Z|5|82.60869565|97.05882353|89.74358974|89.941857904|5.12101941749298|SCCF Oyster Restoration Monitoring|4012
9|Cape Haze Aquatic Preserve|PercentLive_pct|Live Oysters||Restored|1|FALSE|2024|2024|2024-04-10T00:00:00Z|5|80|97.87234043|88.99082569|88.790072926|7.99120015849041|SCCF Oyster Restoration Monitoring|4012
14|Estero Bay Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|11|TRUE|2016|2026|2026-02-03T00:00:00Z|324|0|81|21.5|26.4043209876543|21.5120409763429|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|PercentLive_pct|Live Oysters||Restored|1|FALSE|2020|2020|2020-03-04T00:00:00Z|30|0|92.1875|63.49385|57.7237633333333|22.3036420489861|SCCF Oyster Restoration Monitoring|4012
19|Guana River Marsh Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|8|TRUE|2014|2025|2025-03-10T00:00:00Z|1657|0|64|25|25.5087507543754|12.1012142340528|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
20|Guana Tolomato Matanzas National Estuarine Research Reserve|PercentLive_pct|Live Oysters||Natural|10|TRUE|2014|2026|2026-03-27T00:00:00Z|3950|0|76|23|23.6284810126582|12.5046665980062|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
21|Indian River-Malabar to Vero Beach Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|5|TRUE|2017|2022|2022-08-08T00:00:00Z|90|0|56.79012346|14.81481481|15.8191345947778|14.1268620322967|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|9|TRUE|2016|2025|2025-06-25T00:00:00Z|524|0|51.85185185|7.40740741|12.0819700835878|11.9455155590839|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|5|TRUE|2016|2021|2021-06-30T00:00:00Z|69|0|52.43902439|4.9382716|8.73994649710145|11.2495255453082|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
25|Lemon Bay Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|17|TRUE|2007|2025|2025-10-10T00:00:00Z|494|0|100|72.4137931|65.0744960430769|23.8981768127081|Historical Oyster Body Size (HOBS) Study, Sarasota County Comprehensive Oyster Monitoring Program|972, 5035
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|2|FALSE|2003|2008|2008-09-12T00:00:00Z|173|0|100|82|79.2436057803468|15.5401210253425|Loxahatchee River Oyster Mapping and Recruitment|4014
29|Mosquito Lagoon Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|2|FALSE|2015|2016|2016-06-05T00:00:00Z|120|10|87|43|45.2|16.277323505546|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|5017
30|Nassau River-St. Johns River Marshes Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|1|FALSE|2016|2016|2016-07-25T00:00:00Z|43|10|46|26|24.6976744186047|8.86548922647849|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|5017
48|Nature Coast Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|1|FALSE|2018|2018|2018-04-02T00:00:00Z|1|76|76|76|76||Assessment of Oysters and Barnacles Along the Chassahowitzka, Homosassa, and Lower Withlacoochee River Systems|5074
34|Pine Island Sound Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|7|TRUE|2019|2026|2026-03-05T00:00:00Z|44|0|97.14285714|74.550189395|62.8910108836364|30.5484100075933|SCCF Oyster Restoration Monitoring|4012
34|Pine Island Sound Aquatic Preserve|PercentLive_pct|Live Oysters||Restored|7|TRUE|2019|2026|2026-03-05T00:00:00Z|51|0|100|57.77777778|59.0629794535294|27.8058818995673|SCCF Oyster Restoration Monitoring|4012
35|Pinellas County Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|40|0|49|24|24.491667|13.2933747657289|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
43|St. Martins Marsh Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|1|FALSE|2018|2018|2018-04-02T00:00:00Z|11|68|96|92|89.8181818181818|7.66574434504806|Assessment of Oysters and Barnacles Along the Chassahowitzka, Homosassa, and Lower Withlacoochee River Systems|5074
45|Tomoka Marsh Aquatic Preserve|PercentLive_pct|Live Oysters||Natural|1|FALSE|2015|2015|2015-07-17T00:00:00Z|5|1|14|2|5.8|5.84807660688538|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|5017
47|Yellow River Marsh Aquatic Preserve|PercentLive_pct|Live Oysters||Restored|5|TRUE|2017|2023|2023-11-08T00:00:00Z|75|0|100|95.83333333|72.2000685489333|39.1379870105359|NRDA Oyster Cultch Recovery Project|4044
