AreaID|ManagedAreaName|Year|ParameterName|ShellType|SizeClass|HabitatType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|2016|PercentLive_pct|Live Oysters||Restored|5|16.66666667|46.15384615|40|33.395643782|13.0769084846312|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|2017|PercentLive_pct|Live Oysters||Restored|505|0|100|61.17647059|52.4031602989703|38.9763713072542|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|2018|PercentLive_pct|Live Oysters||Natural|15|0|22|6|7.46666666666667|5.986492732652|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2018|PercentLive_pct|Live Oysters||Restored|431|0|100|66.66666667|53.0710654053828|40.8753022336751|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|2019|PercentLive_pct|Live Oysters||Natural|26|0|3|0|0.153846153846154|0.612686392361227|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2019|PercentLive_pct|Live Oysters||Restored|532|0|100|81.8181818|62.6064514153008|41.6264632207219|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|2020|PercentLive_pct|Live Oysters||Natural|35|0|15|0|1.85714285714286|3.48224789757537|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2020|PercentLive_pct|Live Oysters||Restored|44|50|100|97.88306445|95.6356468568182|8.96737972424191|RESTORE Oyster Cultch Recovery|5007
2|Apalachicola Bay Aquatic Preserve|2021|PercentLive_pct|Live Oysters||Natural|33|0|8|0|1.24242424242424|2.10698693384509|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2021|PercentLive_pct|Live Oysters||Restored|512|0|100|93.75|74.5736688325|36.8474225170878|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|2023|PercentLive_pct|Live Oysters||Natural|40|0|37|5|8.55|10.3551052688133|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2023|PercentLive_pct|Live Oysters||Restored|420|0|100|0|28.7992284832381|42.5164966547055|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|2024|PercentLive_pct|Live Oysters||Natural|35|0|71|2|16.4571428571429|20.687226603337|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2016|PercentLive_pct|Live Oysters||Restored|5|16.66666667|46.15384615|40|33.395643782|13.0769084846312|NRDA Oyster Cultch Recovery Project|4044
3|Apalachicola National Estuarine Research Reserve|2017|PercentLive_pct|Live Oysters||Restored|505|0|100|61.17647059|52.4031602989703|38.9763713072542|NRDA Oyster Cultch Recovery Project|4044
3|Apalachicola National Estuarine Research Reserve|2018|PercentLive_pct|Live Oysters||Natural|35|0|59|10|17.0571428571429|15.270006851462|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2018|PercentLive_pct|Live Oysters||Restored|671|0|100|84.8484848|66.1069220797616|37.477935364708|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|2019|PercentLive_pct|Live Oysters||Natural|56|0|19|1|3.26785714285714|4.83356097388992|Apalachicola Bay Intertidal Oyster Sampling, Apalachicola Intertidal Oyster Project|5010, 5075
3|Apalachicola National Estuarine Research Reserve|2019|PercentLive_pct|Live Oysters||Restored|771|0|100|85.71428571|68.0076099576394|37.2945402497622|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|2020|PercentLive_pct|Live Oysters||Natural|55|0|15|1|2.78181818181818|3.83787609613611|Apalachicola Intertidal Oyster Project|5010
