AreaID|ManagedAreaName|Species|ParameterName|N_Programs|Programs|ProgramIDs|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|LME_Intercept|LME_Slope|p|TrendText|TrendIcon
1|Alligator Harbor Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|166|9|2009|2025|TRUE|61.8670400816718|-1.69540171897956|0.0222067261630777|Decreasing trend|-1
1|Alligator Harbor Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|288|15|2008|2025|TRUE|29.3017112673545|-0.400485147470436|0.485400870121798|No detectable trend|0
1|Alligator Harbor Aquatic Preserve|Star grass|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|1|1|2012|2012|FALSE||||Insufficient data|2
1|Alligator Harbor Aquatic Preserve|No grass in quadrat|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|1638|9|2009|2025|TRUE||||Model did not fit the available data|3
1|Alligator Harbor Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|1|1|2014|2014|FALSE||||Insufficient data|2
1|Alligator Harbor Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|828|16|2008|2025|TRUE|41.9506319059467|-0.955640214830587|0.0807612636480904|No detectable trend|0
1|Alligator Harbor Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|724|15|2008|2025|TRUE|26.30420485164|-0.202050947881108|0.718739160376831|No detectable trend|0
2|Apalachicola Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring|557, 997|96|6|2003|2025|TRUE|82.0571655916211|-2.49001700631657|0.00210369550047683|Decreasing trend|-1
2|Apalachicola Bay Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|Central Panhandle Aquatic Preserves Seagrass Monitoring|557|289|8|2008|2025|TRUE|44.9166102074163|0.395873940180509|0.701805860175166|No detectable trend|0
2|Apalachicola Bay Aquatic Preserve|No grass in quadrat|Median percent cover (from BB scores)|2|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring|557, 997|81|7|2003|2025|TRUE||||Model did not fit the available data|3
2|Apalachicola Bay Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|2|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring|557, 997|52|3|2003|2023|FALSE||||Insufficient data|2
3|Apalachicola National Estuarine Research Reserve|Drift algae|Median percent cover (from BB scores)|2|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring|557, 997|132|8|2003|2025|TRUE|61.414822682012|-1.76924757717076|0.0180442767281392|Decreasing trend|-1
3|Apalachicola National Estuarine Research Reserve|Shoal grass|Median percent cover (from BB scores)|2|Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558|1108|13|2008|2025|TRUE|39.2544017402761|-0.106280283066863|0.862285504874476|No detectable trend|0
3|Apalachicola National Estuarine Research Reserve|Star grass|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|1|1|2017|2017|FALSE||||Insufficient data|2
3|Apalachicola National Estuarine Research Reserve|No grass in quadrat|Median percent cover (from BB scores)|3|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Franklin County Coastal Waters Seagrass Monitoring|557, 558, 997|915|13|2003|2025|TRUE||||Model did not fit the available data|3
3|Apalachicola National Estuarine Research Reserve|Widgeon grass|Median percent cover (from BB scores)|2|Apalachicola Bay Ephemeral SAV Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring|557, 997|55|3|2003|2023|FALSE||||Insufficient data|2
3|Apalachicola National Estuarine Research Reserve|Manatee grass|Median percent cover (from BB scores)|1|Franklin County Coastal Waters Seagrass Monitoring|558|44|4|2011|2017|FALSE||||Insufficient data|2
4|Banana River Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|Indian River Lagoon fixed seagrass transects (SJRWMD)|3013|5129|29|1997|2025|TRUE|32.7066091430681|-1.2742102461296|2.34034760816984e-27|Decreasing trend|-1
4|Banana River Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|1|Indian River Lagoon fixed seagrass transects (SJRWMD)|3013|15441|29|1997|2025|TRUE|0.4997172868127|-0.0130908444524576|0.141715713376745|No detectable trend|0
4|Banana River Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|1|Indian River Lagoon fixed seagrass transects (SJRWMD)|3013|5131|29|1997|2025|TRUE|7.79828345529968|-0.344328370066705|0.000230385164633635|Decreasing trend|-1
4|Banana River Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|1|Indian River Lagoon fixed seagrass transects (SJRWMD)|3013|5147|29|1997|2025|TRUE|0.0924090060103735|-0.00286056085511069|0.0682853088905076|No detectable trend|0
4|Banana River Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|1|Indian River Lagoon fixed seagrass transects (SJRWMD)|3013|5147|29|1997|2025|TRUE||||Model did not fit the available data|3
4|Banana River Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|1|Indian River Lagoon fixed seagrass transects (SJRWMD)|3013|5382|32|1994|2025|TRUE|39.0719765042826|-1.5198894601872|1.66443623849838e-19|Decreasing trend|-1
5|Big Bend Seagrasses Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|3656|25|2000|2025|TRUE|9.02603039720952|0.660207608606611|2.45764999882379e-06|Increasing trend|1
5|Big Bend Seagrasses Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|2885|25|2000|2025|TRUE|25.7840495989878|-0.490042927509|1.02934983611883e-06|Decreasing trend|-1
5|Big Bend Seagrasses Aquatic Preserve|Star grass|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|910|25|2000|2025|TRUE|20.6226433661185|-0.246282710245002|0.0528721461070993|No detectable trend|0
5|Big Bend Seagrasses Aquatic Preserve|No grass in quadrat|Median percent cover (from BB scores)|1|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring|560|403|21|2004|2025|TRUE||||Model did not fit the available data|3
5|Big Bend Seagrasses Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|89|16|2001|2025|TRUE|24.4141397488665|-0.1700483580095|0.708418893726101|No detectable trend|0
5|Big Bend Seagrasses Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|5960|25|2000|2025|TRUE|37.7908936472154|-0.526720216977605|2.02484255218162e-06|Decreasing trend|-1
5|Big Bend Seagrasses Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|13619|25|2000|2025|TRUE|42.6812829669626|-0.493620517719675|5.32339843320681e-11|Decreasing trend|-1
6|Biscayne Bay Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|2|Miami-Dade County DERM Benthic Habitat Monitoring Program, The South Florida Fisheries Habitat Assessment Program (FHAP)|4018, 4049|2118|17|2008|2024|TRUE|-0.0338584432755453|0.00963406173230785|0.102881422519506|No detectable trend|0
6|Biscayne Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|11252|26|1999|2024|TRUE|10.7299713245486|-0.313686411470303|4.94820630094203e-07|Decreasing trend|-1
6|Biscayne Bay Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|13868|26|1999|2024|TRUE|8.20630468626299|-0.23154801133696|6.10770297038296e-06|Decreasing trend|-1
6|Biscayne Bay Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|40526|25|2000|2024|TRUE|0.668645791371325|-0.0227176781855818|0.00940484342557694|Decreasing trend|-1
6|Biscayne Bay Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|9338|20|2005|2024|TRUE||||Model did not fit the available data|3
6|Biscayne Bay Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|13791|26|1999|2024|TRUE|14.750018148186|-0.370260283556471|0.000281401961232601|Decreasing trend|-1
6|Biscayne Bay Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|14083|26|1999|2024|TRUE|44.9650093427713|-1.37407669814343|1.25685688976499e-28|Decreasing trend|-1
6|Biscayne Bay Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|9402|26|1999|2024|TRUE|51.2374653354048|-0.206500161917888|0.256494342101214|No detectable trend|0
6|Biscayne Bay Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|12001|20|2005|2024|TRUE|17.1357640841417|0.607687622912365|0.00122838987639503|Increasing trend|1
8|Boca Ciega Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|20|3|2020|2022|FALSE||||Insufficient data|2
8|Boca Ciega Bay Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|2|Tampa Bay Seagrass Monitoring, Western Pinellas County Seagrass Monitoring|564, 565|1416|27|1998|2025|TRUE|49.7334156383442|-0.345887959455809|0.054949956337579|No detectable trend|0
8|Boca Ciega Bay Aquatic Preserve|No grass in quadrat|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|408|26|1998|2025|TRUE||||Model did not fit the available data|3
8|Boca Ciega Bay Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|2|Tampa Bay Seagrass Monitoring, Western Pinellas County Seagrass Monitoring|564, 565|19|7|2003|2025|TRUE||||Model did not fit the available data|3
8|Boca Ciega Bay Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|2|Tampa Bay Seagrass Monitoring, Western Pinellas County Seagrass Monitoring|564, 565|1070|27|1998|2025|TRUE|54.1082455390122|-0.625190541315996|0.0152358549755163|Decreasing trend|-1
8|Boca Ciega Bay Aquatic Preserve|Halophila, unk.|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|1|1|2022|2022|FALSE||||Insufficient data|2
9|Cape Haze Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|1|1|2009|2009|FALSE||||Insufficient data|2
9|Cape Haze Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|118|20|2003|2025|TRUE|-4.72683972225375|0.870495902508964|0.116351897688827|No detectable trend|0
9|Cape Haze Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|433|27|1998|2025|TRUE|22.3272149556663|-0.347925750606938|0.284714246946418|No detectable trend|0
9|Cape Haze Aquatic Preserve|No grass in quadrat|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|139|25|1998|2025|TRUE||||Model did not fit the available data|3
9|Cape Haze Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|102|24|1998|2025|TRUE|32.8694542734786|-0.248140239152269|0.743000135665345|No detectable trend|0
