AreaID|ManagedAreaName|Species|ParameterName|N_Programs|ProgramIDs|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|LME_Intercept|LME_Slope|p|Model_Failed
1|Alligator Harbor Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|557, 558|135|7|2009|2022|TRUE|68.5727417604242|-1.89456097070453|0.0529901237842006|FALSE
1|Alligator Harbor Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|2|557, 558|772|13|2009|2022|TRUE|53.0227877143751|-1.42287922269368|0.0294100245186515|FALSE
1|Alligator Harbor Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|2|557, 558|244|12|2009|2022|TRUE|35.4764067204264|-0.760788224053831|0.556512762309673|FALSE
1|Alligator Harbor Aquatic Preserve|Star grass|Median percent cover (from BB scores)|1|558|1|1|2012|2012|FALSE||||FALSE
1|Alligator Harbor Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|2|557, 558|655|12|2009|2022|TRUE|12.2289713409541|0.35320560910412|0.609610409607579|FALSE
1|Alligator Harbor Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|1|558|1|1|2014|2014|FALSE||||FALSE
2|Apalachicola Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|557, 997|79|3|2003|2021|FALSE||||FALSE
2|Apalachicola Bay Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|557|161|5|2008|2021|TRUE|-3.22151638296444|2.23139766614055|0.405526222201168|FALSE
2|Apalachicola Bay Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|1|997|50|1|2003|2003|FALSE||||FALSE
3|Apalachicola National Estuarine Research Reserve|Drift algae|Median percent cover (from BB scores)|2|557, 997|97|5|2003|2021|TRUE|44.1468422402553|-1.24846162142871|0.307428694462241|FALSE
3|Apalachicola National Estuarine Research Reserve|Manatee grass|Median percent cover (from BB scores)|1|558|44|4|2011|2017|FALSE||||FALSE
3|Apalachicola National Estuarine Research Reserve|Shoal grass|Median percent cover (from BB scores)|2|557, 558|841|10|2008|2021|TRUE|31.1658220369791|0.168668449295993|0.83858183528608|FALSE
3|Apalachicola National Estuarine Research Reserve|Star grass|Median percent cover (from BB scores)|1|558|1|1|2017|2017|FALSE||||FALSE
3|Apalachicola National Estuarine Research Reserve|Widgeon grass|Median percent cover (from BB scores)|1|997|50|1|2003|2003|FALSE||||FALSE
4|Banana River Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|3013|0|0|||FALSE||||FALSE
4|Banana River Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|1|3013|14145|25|1997|2021|TRUE|0.581136993479572|-0.0182845473837295|0.0172346042156258|FALSE
4|Banana River Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|1|3013|4715|25|1997|2021|TRUE|0.0873545418674865|-0.00239399773460794|0.147439846020815|FALSE
4|Banana River Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|3013|4701|25|1997|2021|TRUE|36.1480525555818|-1.51851487118813|1.83363302258113e-23|FALSE
4|Banana River Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|1|3013|4952|28|1994|2021|TRUE|42.2982470802168|-1.76926644575163|3.25922471784144e-17|FALSE
4|Banana River Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|3013|0|0|||FALSE||||FALSE
4|Banana River Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|1|3013|4715|25|1997|2021|TRUE||||TRUE
4|Banana River Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|1|3013|4702|25|1997|2021|TRUE|9.25252035598892|-0.448498098767242|0.00018996385932385|FALSE
5|Big Bend Seagrasses Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|559, 560|1873|20|2000|2020|TRUE|11.822897430033|0.365086727617877|0.0134578001780972|FALSE
5|Big Bend Seagrasses Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|2|559, 560|2834|20|2000|2020|TRUE|33.4588764014551|-0.34388449012043|0.0914582283114989|FALSE
5|Big Bend Seagrasses Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|2|559, 560|980|20|2000|2020|TRUE|27.1642797412617|-0.48457749700274|0.0598776354193227|FALSE
5|Big Bend Seagrasses Aquatic Preserve|Star grass|Median percent cover (from BB scores)|2|559, 560|481|20|2000|2020|TRUE|11.4237927947547|0.159403014092149|0.428726976842414|FALSE
5|Big Bend Seagrasses Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|2|559, 560|4075|20|2000|2020|TRUE|47.8099304686587|-0.596882364823131|0.00867395395279126|FALSE
5|Big Bend Seagrasses Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|2|559, 560|50|12|2001|2020|TRUE|34.2593279706149|-0.521701676902021|0.368694414035741|FALSE
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|||||||||||||
6|Biscayne Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|3|965, 4018, 4049|10766|23|1999|2021|TRUE|4.56743816217486|-0.183397203310051|0.000457734017280324|FALSE
6|Biscayne Bay Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|4|965, 4018, 4049, 5027|34103|22|2000|2021|TRUE|0.63407157863266|-0.0325557189430302|0.00651835949873684|FALSE
6|Biscayne Bay Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|4|965, 4018, 4049, 5027|10829|23|1999|2021|TRUE|33.4008952622829|-1.24734401359269|9.05918583338276e-58|FALSE
6|Biscayne Bay Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|4|965, 4018, 4049, 5027|10881|23|1999|2021|TRUE|9.53476563951765|-0.297489972366824|3.29537807867617e-08|FALSE
6|Biscayne Bay Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|2|965, 4049|6653|7|2005|2011|TRUE|-136.919951227356|12.4286933462327|5.18327199670418e-162|FALSE
6|Biscayne Bay Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|4|965, 4018, 4049, 5027|9227|17|2005|2021|TRUE|30.0701579722585|-0.125432737483141|0.480703511982582|FALSE
6|Biscayne Bay Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|4|965, 4018, 4049, 5027|10907|23|1999|2021|TRUE|30.2749543786397|-0.884306362811538|1.57599309025935e-10|FALSE
6|Biscayne Bay Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|3|965, 4018, 4049|9263|17|2005|2021|TRUE||||TRUE
8|Boca Ciega Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|565|19|2|2020|2021|FALSE||||FALSE
8|Boca Ciega Bay Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|2|564, 565|9|3|2003|2021|FALSE||||FALSE
8|Boca Ciega Bay Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|2|564, 565|1140|23|1998|2021|TRUE|49.6267634588372|-0.187349373837917|0.308341808404284|FALSE
8|Boca Ciega Bay Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|2|564, 565|870|23|1998|2021|TRUE|61.4230684779125|-0.831387667229611|2.25465721159149e-09|FALSE
9|Cape Haze Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|1|570|1|1|2009|2009|FALSE||||FALSE
9|Cape Haze Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|570|79|16|2003|2021|TRUE|-7.92460387667866|1.0500942977926|0.168379290656317|FALSE
9|Cape Haze Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|1|570|79|20|1998|2021|TRUE|17.4839066577509|0.630623291548358|0.51269316185595|FALSE
9|Cape Haze Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|570|369|23|1998|2021|TRUE|22.4215290654|-0.376164850723109|0.404783350869008|FALSE
9|Cape Haze Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|570|562|19|1998|2021|TRUE|28.9740736992506|-0.243330245911988|0.604350938568821|FALSE
9|Cape Haze Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|1|570|257|23|1998|2021|TRUE|19.6170902720182|0.510491194101583|0.0980662341935579|FALSE
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|||||||||||||
11|Cockroach Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|565|8|1|2021|2021|FALSE||||FALSE
11|Cockroach Bay Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|1|565|266|14|2000|2021|TRUE|44.2970671701252|0.940280069165751|0.359510343950129|FALSE
11|Cockroach Bay Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|565|376|14|2000|2021|TRUE|33.0382129802473|0.0998087871286693|0.752283534449306|FALSE
11|Cockroach Bay Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|1|565|301|13|2000|2021|TRUE|25.3483867290609|0.0230750998581093|0.941888427251693|FALSE
11|Cockroach Bay Aquatic Preserve|Unidentified Halophila|Median percent cover (from BB scores)|1|565|1|1|2021|2021|FALSE||||FALSE
13|Coupon Bight Aquatic Preserve|||||||||||||
14|Estero Bay Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|1|571|19|13|2002|2020|TRUE|8.87750605884347|-0.239133955621602|0.419119501244694|FALSE
14|Estero Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|571|355|20|2002|2021|TRUE|16.4880440447741|-0.0976453219959189|0.721610896797248|FALSE
14|Estero Bay Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|1|571|15|13|2003|2021|TRUE|26.9390238649973|-0.972113817522698|0.351760982009798|FALSE
14|Estero Bay Aquatic Preserve|Paddle grass|Median percent cover (from BB scores)|1|571|19|8|2002|2018|TRUE|19.9126494880553|-0.158587740438279|0.809977944025727|FALSE
14|Estero Bay Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|571|709|20|2002|2021|TRUE|33.7581236857214|-0.608846649140018|0.0269494046954792|FALSE
14|Estero Bay Aquatic Preserve|Star grass|Median percent cover (from BB scores)|1|571|14|10|2002|2013|TRUE||||TRUE
14|Estero Bay Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|571|717|16|2006|2021|TRUE|48.7739457179767|-1.32867935615044|0.0259784894821554|FALSE
14|Estero Bay Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|1|571|252|20|2002|2021|TRUE|27.4246716468128|-0.777571513508289|0.0476575843321846|FALSE
14|Estero Bay Aquatic Preserve|Unidentified Halophila|Median percent cover (from BB scores)|1|571|8|5|2003|2015|TRUE||||TRUE
15|Florida Keys National Marine Sanctuary|Drift algae|Median percent cover (from BB scores)|3|965, 4018, 4049|16337|24|1999|2022|TRUE|1.14922615061339|0.0861300616716795|0.0355924770683436|FALSE
15|Florida Keys National Marine Sanctuary|Halophila spp.|Median percent cover (from BB scores)|3|965, 4018, 4049|44372|18|2005|2022|TRUE|0.0372940023071361|-0.000560134925323787|0.739123523972279|FALSE
15|Florida Keys National Marine Sanctuary|Manatee grass|Median percent cover (from BB scores)|4|296, 965, 4018, 4049|17662|27|1996|2022|TRUE|1.68208794196163|-0.0440843635476609|0.0738669442314562|FALSE
15|Florida Keys National Marine Sanctuary|Shoal grass|Median percent cover (from BB scores)|4|296, 965, 4018, 4049|17687|27|1996|2022|TRUE|5.52978230304487|-0.156477960444601|6.15419732950523e-06|FALSE
15|Florida Keys National Marine Sanctuary|Total SAV|Median percent cover (from BB scores)|2|965, 4049|13598|17|2005|2022|TRUE|29.8425538064907|-0.193069447304384|0.0958324121387964|FALSE
15|Florida Keys National Marine Sanctuary|Total seagrass|Median percent cover (from BB scores)|3|965, 4018, 4049|14532|18|2005|2022|TRUE|20.3487603280734|-0.154030763924825|0.0843428308175499|FALSE
15|Florida Keys National Marine Sanctuary|Turtle grass|Median percent cover (from BB scores)|4|296, 965, 4018, 4049|17793|27|1996|2022|TRUE|36.4469029606028|-1.05866589082744|9.35060264557413e-54|FALSE
15|Florida Keys National Marine Sanctuary|Widgeon grass|Median percent cover (from BB scores)|2|965, 4049|15908|17|2005|2022|TRUE|-0.0382529398999454|0.00279907648612157|0.150457854287563|FALSE
16|Fort Clinch State Park Aquatic Preserve|||||||||||||
17|Fort Pickens State Park Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|4065|755|6|2016|2021|TRUE|91.5548834449065|-1.76190043317348|0.0670221525094908|FALSE
17|Fort Pickens State Park Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|1|4065|857|6|2016|2021|TRUE|117.963610326295|-2.21545963734741|0.0463799655060485|FALSE
17|Fort Pickens State Park Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|4065|855|6|2016|2021|TRUE|123.184321225127|-2.46554850217442|0.0284889292969571|FALSE
17|Fort Pickens State Park Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|1|4065|432|6|2016|2021|TRUE|-25.34394888347|2.91457440335782|0.00756858646448099|FALSE
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|1|570|23|7|2007|2021|TRUE|-1.69138258029054|0.334671703476698|0.252329025656134|FALSE
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|570|583|22|1999|2021|TRUE|14.7829265567613|-0.0456597446374227|0.886719309995848|FALSE
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|1|570|229|24|1998|2021|TRUE|47.2352573084017|-0.30972608939919|0.582905363133628|FALSE
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|570|2070|24|1998|2021|TRUE|19.1533173618643|-0.00204189537470412|0.981033313413865|FALSE
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Star grass|Median percent cover (from BB scores)|1|570|2|2|2011|2014|FALSE||||FALSE
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|570|2917|20|1998|2021|TRUE|21.5419136313892|0.0456024982100502|0.613521017268538|FALSE
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|1|570|939|24|1998|2021|TRUE|29.5160655529373|-0.0248033351907821|0.912850277083131|FALSE
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|1|570|40|10|1998|2019|TRUE|4.26200311217265|-0.0392864623803351|0.795522063415379|FALSE
19|Guana River Marsh Aquatic Preserve|||||||||||||
20|Guana Tolomato Matanzas National Estuarine Research Reserve|||||||||||||
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|3013|0|0|||FALSE||||FALSE
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|1|3013|43973|25|1997|2021|TRUE|0.577212438674497|-0.00858239591969529|0.366137019526288|FALSE
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Manatee grass|Median percent cover (from BB scores)|1|3013|14639|25|1997|2021|TRUE|6.27373935340147|-0.282571423595044|0.00455950464283542|FALSE
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Shoal grass|Median percent cover (from BB scores)|1|3013|14633|25|1997|2021|TRUE|35.6440642587545|-1.49981327844237|1.12058578078732e-18|FALSE
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|1|3013|15790|28|1994|2021|TRUE|43.1275845447191|-1.77036118849969|2.38121334017734e-26|FALSE
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|3013|0|0|||FALSE||||FALSE
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Turtle grass|Median percent cover (from BB scores)|1|3013|14658|25|1997|2021|TRUE|1.86192621553106|-0.0748974176506377|0.0991110125669191|FALSE
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Widgeon grass|Median percent cover (from BB scores)|1|3013|14657|25|1997|2021|TRUE|0.277403070128504|-0.0137024662544203|0.102397766985407|FALSE
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|3013|0|0|||FALSE||||FALSE
