ManagedAreaName|AreaID|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|EarliestSampleDate|LastSampleDate|Median|SufficientData|Independent|tau|p|SenSlope|SenIntercept|ChiSquared|pChiSquared|ub|lb|Trend|Website|TrendIcon|TrendText
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Dissolved Oxygen|Bottom|11557|2|2007|2008|2007-10-24T10:30:00Z|2008-08-25T09:00:00Z|8|FALSE|||||||||||1|2|Insufficient data
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Dissolved Oxygen Saturation|Bottom|11557|2|2007|2008|2007-10-24T10:30:00Z|2008-08-25T09:00:00Z|105.6|FALSE|||||||||||1|2|Insufficient data
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Salinity|Bottom|13034|2|2007|2008|2007-10-24T10:30:00Z|2008-08-25T09:00:00Z|34|FALSE|||||||||||1|2|Insufficient data
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Specific Conductivity|Bottom|13034|2|2007|2008|2007-10-24T10:30:00Z|2008-08-25T09:00:00Z|51.89|FALSE|||||||||||1|2|Insufficient data
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Turbidity|Bottom|12558|2|2007|2008|2007-10-24T10:30:00Z|2008-08-25T09:00:00Z|10|FALSE|||||||||||1|2|Insufficient data
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Water Temperature|Bottom|13034|2|2007|2008|2007-10-24T10:30:00Z|2008-08-25T09:00:00Z|20.9|FALSE|||||||||||1|2|Insufficient data
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|pH|Bottom|13034|2|2007|2008|2007-10-24T10:30:00Z|2008-08-25T09:00:00Z|7.9|FALSE|||||||||||1|2|Insufficient data
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Dissolved Oxygen|Bottom|187905|8|2019|2026|2019-09-12T09:45:00Z|2026-03-31T23:45:00Z|6.7|TRUE|TRUE|-0.21754|0.03119|-0.06887|6.45052|11.8414|0.3757|-0.01203|-0.12308|-1|1|-1|Decreasing trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Dissolved Oxygen Saturation|Bottom|187906|8|2019|2026|2019-09-12T09:45:00Z|2026-03-31T23:45:00Z|93.1|TRUE|TRUE|-0.25|0.00818|-0.74113|95.23658|12.1234|0.3544|-0.15222|-1.24926|-1|1|-1|Decreasing trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Salinity|Bottom|186148|8|2019|2026|2019-09-12T09:45:00Z|2026-03-31T23:45:00Z|31.2|TRUE|TRUE|0.29649|0.0033|0.3984|29.91652|6.7498|0.819|0.63408|0.14546|1|1|1|Increasing trend
