AreaID,ManagedAreaName,ParameterName,RelativeDepth,ActivityType,SufficientData,N_Data,N_Years,EarliestYear,LatestYear,EarliestSampleDate,LastSampleDate,Median,Independent,tau,p,SenSlope,SenIntercept,ChiSquared,pChiSquared,ub,lb,Trend,Website,TrendIcon,TrendText
1,Alligator Harbor Aquatic Preserve,"Chlorophyll a, Corrected for Pheophytin",All,Lab,TRUE,436,11,2012,2025,2012-11-27T10:10:00Z,2025-07-09T10:52:00Z,5.9,TRUE,0.05897,0.58012,0.02381,3.99584,7.6321,0.7458,0.25947,-0.14286,0,1,0,No detectable trend
1,Alligator Harbor Aquatic Preserve,"Chlorophyll a, Corrected for Pheophytin",Surface,Lab,TRUE,436,11,2012,2025,2012-11-27T10:10:00Z,2025-07-09T10:52:00Z,5.9,TRUE,0.05897,0.58012,0.02381,3.99584,7.6321,0.7458,0.25947,-0.14286,0,0,0,No detectable trend
1,Alligator Harbor Aquatic Preserve,"Chlorophyll a, Uncorrected for Pheophytin",All,Lab,TRUE,1178,19,2001,2025,2001-06-16T00:00:00Z,2025-07-09T10:52:00Z,6,TRUE,0.27106,0,0.14881,3.71199,12.6356,0.3178,0.2155,0.09149,1,1,1,Increasing trend
1,Alligator Harbor Aquatic Preserve,"Chlorophyll a, Uncorrected for Pheophytin",Surface,Lab,TRUE,1178,19,2001,2025,2001-06-16T00:00:00Z,2025-07-09T10:52:00Z,6,TRUE,0.27106,0,0.14881,3.71199,12.6356,0.3178,0.2155,0.09149,1,0,1,Increasing trend
1,Alligator Harbor Aquatic Preserve,Colored Dissolved Organic Matter,All,Lab,TRUE,423,18,2001,2024,2001-06-16T00:00:00Z,2024-10-23T11:55:00Z,8,TRUE,0.23199,0.0315,0.19218,6.62963,8.1499,0.1482,0.33668,0.02612,1,1,1,Increasing trend
1,Alligator Harbor Aquatic Preserve,Colored Dissolved Organic Matter,Surface,Lab,TRUE,423,18,2001,2024,2001-06-16T00:00:00Z,2024-10-23T11:55:00Z,8,TRUE,0.23199,0.0315,0.19218,6.62963,8.1499,0.1482,0.33668,0.02612,1,0,1,Increasing trend
1,Alligator Harbor Aquatic Preserve,Dissolved Oxygen,All,Field,TRUE,8423,28,1998,2025,1998-08-14T00:00:00Z,2025-12-04T00:00:00Z,7.2,TRUE,-0.1683,0.00003,-0.02911,7.91292,8.1037,0.704,-0.01475,-0.04158,-1,1,-1,Decreasing trend
1,Alligator Harbor Aquatic Preserve,Dissolved Oxygen,Bottom,Field,TRUE,2477,26,1998,2023,1998-11-17T11:24:00Z,2023-09-14T12:15:00Z,7.1,TRUE,-0.23284,0.00017,-0.04644,7.83875,6.6326,0.828,-0.02561,-0.06854,-1,0,-1,Decreasing trend
1,Alligator Harbor Aquatic Preserve,Dissolved Oxygen,Surface,Field,TRUE,5506,28,1998,2025,1998-08-14T00:00:00Z,2025-12-04T00:00:00Z,7.3,TRUE,-0.18031,0.00001,-0.03087,7.97964,8.0727,0.7068,-0.0182,-0.04535,-1,0,-1,Decreasing trend
1,Alligator Harbor Aquatic Preserve,Dissolved Oxygen Saturation,All,Field,FALSE,131,8,2013,2022,2013-07-23T00:00:00Z,2022-12-07T14:30:00Z,96.8,,,,,,,,,,,1,2,Insufficient data
