"","Region","MonitoringID","AreaID","ManagedAreaName","ProgramID","ProgramName","ProgramLocationID","ParameterName","Units","RelativeDepth","N_Data","N_Years","EarliestYear","LatestYear","SufficientData","Season","Median","Independent","tau","z","p_z","chi_sq","p_chi_sq","SennSlope","SennIntercept","Trend"
"1","NE",1,1,"Alligator Harbor Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NE",2,2,"Apalachicola Bay Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NE",3,3,"Apalachicola National Estuarine Research Reserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","NE",4,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","CMMerritt","Dissolved Oxygen","mg/L","surface",1146,4,2014,2017,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"All",7.09708333333333,TRUE,0.1479,10.6452,0,134.2871,0,0.0571111111111111,5.70218002946128,1
"6","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"1",8.84291666666667,TRUE,-0.1464,-2.7645,0.0057,NA,NA,-0.0620601851851852,10.8288425925926,-1
"7","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"2",8.203125,TRUE,0.014,0.2493,0.8031,NA,NA,0.005,8.043125,1
"8","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"3",7.91604166666667,TRUE,-0.077,-1.4321,0.1521,NA,NA,-0.0252380952380953,8.72366071428572,-1
"9","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"4",7.25401515151515,TRUE,0.2165,4.071,0,NA,NA,0.0614895833333334,5.28634848484848,1
"10","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"5",7.11479166666667,TRUE,0.3276,6.7189,0,NA,NA,0.123969298245614,3.20975877192983,1
"11","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"6",6.2,TRUE,0.2222,4.482,0,NA,NA,0.113530701754386,2.62378289473684,1
"12","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"7",5.715,TRUE,0.3387,6.8947,0,NA,NA,0.3204875,-4.5406,1
"13","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"8",5.84083333333333,TRUE,0.32,6.5462,0,NA,NA,0.215416666666667,-1.0525,1
"14","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"9",6.075342445625,TRUE,0.3316,6.7229,0,NA,NA,0.165,0.960342445624999,1
"15","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"10",6.506875,TRUE,0.0429,0.8833,0.3771,NA,NA,0.0125439814814815,6.11801157407407,1
"16","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"11",7.51708333333333,TRUE,0.0755,1.5228,0.1278,NA,NA,0.0291911764705883,6.5975612745098,1
"17","NE",5,4,"Banana River Aquatic Preserve",5061,"St. Johns River Water Management District Continuous Water Quality Programs","IRLB04","Dissolved Oxygen","mg/L","surface",2067,35,1987,2021,TRUE,"12",8.46833333333333,TRUE,0.0025,0.0492,0.9607,NA,NA,0.00119047619047612,8.43142857142857,1
"18","NE",6,5,"Big Bend Seagrasses Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","NE",7,7,"Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","NE",8,6,"Biscayne Bay Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","NE",9,8,"Boca Ciega Bay Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","NE",10,9,"Cape Haze Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","NE",11,10,"Cape Romano-Ten Thousand Islands Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","NE",12,11,"Cockroach Bay Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","NE",13,13,"Coupon Bight Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","NE",14,14,"Estero Bay Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","NE",15,15,"Florida Keys National Marine Sanctuary",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","NE",16,16,"Fort Clinch State Park Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","NE",17,17,"Fort Pickens State Park Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","NE",18,18,"Gasparilla Sound-Charlotte Harbor Aquatic Preserve",NA,NA,NA,"Dissolved Oxygen","mg/L",NA,0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"All",5.88854166666667,TRUE,-0.0312,-3.927,0.0001,40.1482,0,-0.00515350877192986,5.74882311698718,-1
"32","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"1",7.95625,TRUE,-0.0699,-2.6582,0.0079,NA,NA,-0.0145833333333334,8.10208333333333,-1
"33","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"2",7.73229166666667,TRUE,-0.0975,-3.4924,0.0005,NA,NA,-0.0171875,7.92135416666667,-1
"34","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"3",6.95,TRUE,0.0357,1.324,0.1855,NA,NA,0.00583333333333336,6.89166666666667,1
"35","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"4",6.18125,TRUE,0.0214,0.7699,0.4414,NA,NA,0.00264423076923076,6.15480769230769,1
"36","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"5",5.396875,TRUE,0.0342,1.1958,0.2318,NA,NA,0.00450303819444433,5.34283854166667,1
"37","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"6",4.79166666666667,TRUE,-0.0933,-3.273,0.0011,NA,NA,-0.0113636363636364,4.91666666666667,-1
"38","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"7",4.6,TRUE,-0.0111,-0.3801,0.7039,NA,NA,-0.00162037037037038,4.61782407407407,-1
"39","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"8",4.32604166666667,TRUE,-0.0507,-1.8245,0.0681,NA,NA,-0.00848214285714288,4.4108630952381,-1
"40","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"9",4.49583333333333,TRUE,0.0059,0.2084,0.8349,NA,NA,0.0010416666666667,4.48645833333333,1
"41","NE",19,19,"Guana River Marsh Aquatic Preserve",4054,"Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program","gtmpiwq","Dissolved Oxygen","mg/L","bottom",6980,22,2001,2022,TRUE,"10",5.12239583333333,TRUE,-0.0301,-1.1346,0.2566,NA,NA,-0.00584935897435898,5.18088942307692,-1
