AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Dissolved Oxygen|bottom|289|2|2007|2008|FALSE|||||||||||
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Dissolved Oxygen|bottom|88|1|2019|2019|FALSE|||||||||||
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Dissolved Oxygen|bottom|110|1|2019|2019|FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|All|7.20625|TRUE|-0.0575|-6.8506|0|64.8069|0|-0.0128066100471194|7.76674890350877|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|1|9.48958333333333|TRUE|-0.0979|-3.52|0.0004|||-0.0248133912655972|9.88659759358289|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|2|9.309375|TRUE|-0.0231|-0.7683|0.4423|||-0.00590277777777803|9.40381944444445|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|3|8.22604166666667|TRUE|-0.0433|-1.5474|0.1218|||-0.0102083333333335|8.39958333333334|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|4|7.440625|TRUE|-0.1604|-5.5464|0|||-0.040405701754386|8.08711622807018|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|5|6.58697916666667|TRUE|-0.068|-2.3633|0.0181|||-0.0139583333333334|6.82427083333334|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|6|5.98229166666667|TRUE|-0.031|-1.072|0.2837|||-0.00602896524771526|6.07875511063011|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|7|5.69791666666667|TRUE|0.0598|2.0872|0.0369|||0.0098379629629629|5.54050925925926|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|8|5.67291666666667|TRUE|0.0345|1.1996|0.2303|||0.00729166666666668|5.55625|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|9|6.17291666666667|TRUE|-0.0184|-0.6179|0.5366|||-0.00364583333333332|6.22760416666667|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|10|6.92708333333333|TRUE|-0.16|-5.2366|0|||-0.0324561403508772|7.44638157894737|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|11|8.03020833333333|TRUE|-0.0493|-1.693|0.0905|||-0.0121212121212122|8.22414772727273|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|bottom|6392|21|2002|2022|TRUE|12|8.8953125|TRUE|-0.1354|-4.7886|0|||-0.0385416666666666|9.51197916666666|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Dissolved Oxygen|bottom|7689|28|1995|2022|TRUE|All|6.875|TRUE|-0.1551|-20.2122|0|82.2973|0|-0.0572916666666668|7.6262126473064|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Dissolved Oxygen|bottom|7689|28|1995|2022|TRUE|1|9.753125|TRUE|-0.249|-9.0944|0|||-0.0989583333333321|11.1385416666667|-1
