AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
3|Apalachicola National Estuarine Research Reserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
4|Banana River Aquatic Preserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
5|Big Bend Seagrasses Aquatic Preserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
6|Biscayne Bay Aquatic Preserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
8|Boca Ciega Bay Aquatic Preserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
9|Cape Haze Aquatic Preserve||||Dissolved Oxygen Saturation||0|0|||FALSE|||||||||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|All|79.7888888888889|TRUE|0.025|2.6743|0.0075|94.7639|0|0.0657986111111129|77.9272832302096|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|1|90.3135416666667|TRUE|-0.0279|-0.8793|0.3793|||-0.0612697458791204|91.1713181089744|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|2|89.1927083333333|TRUE|-0.0065|-0.203|0.8391|||-0.0131076388888888|89.3762152777778|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|3|86.5770833333333|TRUE|0.1437|4.7007|0|||0.324934895833333|82.3529296875|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|4|83.4895833333333|TRUE|0.0953|2.9632|0.003|||0.232832104985566|80.462765968521|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|5|79.4166666666667|TRUE|0.1433|4.6463|0|||0.326852430555556|75.1675850694445|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|6|70.5572916666667|TRUE|0.0578|1.8829|0.0597|||0.217083333333335|67.518125|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|7|67.6302083333333|TRUE|0.0725|2.3862|0.017|||0.251822916666667|64.3565104166667|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|8|63.8770833333333|TRUE|0.1017|3.2834|0.001|||0.324999999999999|59.6520833333333|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|9|62.8605654761905|TRUE|-0.0285|-0.9007|0.3677|||-0.0974283854166669|64.1271344866072|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|10|71.8020833333334|TRUE|-0.085|-2.8337|0.0046|||-0.27613208912037|75.3918004918982|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|11|83.36875|TRUE|-0.0179|-0.5891|0.5558|||-0.0500000000000114|84.0187500000002|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Dissolved Oxygen Saturation|bottom|5605|19|2002|2022|TRUE|12|88.4296875|TRUE|-0.1354|-4.5253|0|||-0.316324198308385|92.541902078009|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|All|73.94375|TRUE|-0.1084|-12.5119|0|84.2158|0|-0.216294642857143|76.6447801736823|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|1|85.071875|TRUE|-0.1504|-4.9761|0|||-0.300694444444442|89.2815972222222|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|2|83.4177083333333|TRUE|-0.1363|-4.3038|0|||-0.236380208333334|86.72703125|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|3|83.5989583333334|TRUE|-0.0385|-1.2721|0.2033|||-0.0701388888888886|84.5107638888889|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|4|81.6877028508772|TRUE|-0.1085|-3.4921|0.0005|||-0.14990908260234|83.6365209247076|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|5|77.2052083333333|TRUE|0.097|3.2552|0.0011|||0.167524089580011|75.0273951687932|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|6|66.0145833333333|TRUE|-0.1013|-3.3898|0.0007|||-0.247191388838571|69.2280713882348|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|7|60.584375|TRUE|-0.1323|-4.466|0|||-0.273498987268518|64.1398618344907|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|8|57.4598958333333|TRUE|-0.0672|-2.2786|0.0227|||-0.130997242647059|59.1628599877451|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Dissolved Oxygen Saturation|bottom|5933|18|2002|2022|TRUE|9|54.35625|TRUE|-0.1305|-4.3723|0|||-0.276736111111112|57.9538194444445|-1
