AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
3|Apalachicola National Estuarine Research Reserve||||Salinity||0|0|||FALSE|||||||||||
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|CMMerritt|Salinity|surface|1099|4|2014|2017|FALSE|||||||||||
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|All|20.503159108913|TRUE|-0.3842|-26.0879|0|39.0086|0.0001|-0.396708968030303|34.4631485378125|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|1|19.6562379297917|TRUE|-0.2562|-4.8533|0|||-0.303557932489178|29.3700917694454|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|2|20.6187589658333|TRUE|-0.3876|-6.9564|0|||-0.552009974583335|38.2830781525001|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|3|21.3289973483333|TRUE|-0.524|-9.8393|0|||-1.04090455902244|54.6379432370513|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|4|22.5894865833333|TRUE|-0.574|-10.8257|0|||-1.19402562296875|60.7983065183333|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|5|22.9998240116|TRUE|-0.5204|-10.6446|0|||-1.36308050166667|65.2553195632667|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|6|21.20753713|TRUE|-0.3672|-7.4062|0|||-0.516067868472222|37.463674986875|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|7|21.30855836|TRUE|-0.3579|-7.3413|0|||-0.65150986194332|41.8311190112146|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|8|20.57441664875|TRUE|-0.3329|-6.8107|0|||-0.340256419999999|31.46262208875|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Salinity|surface|2080|35|1987|2021|TRUE|9|20.65784617375|TRUE|-0.2768|-5.6427|0|||-0.254928536496914|28.5606308051543|-1
