AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
3|Apalachicola National Estuarine Research Reserve||||Salinity||0|0|||FALSE|||||||||||
4|Banana River Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
5|Big Bend Seagrasses Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
6|Biscayne Bay Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
8|Boca Ciega Bay Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
9|Cape Haze Aquatic Preserve||||Salinity||0|0|||FALSE|||||||||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255123081321300|Salinity|surface|319|5|2008|2017|FALSE|||||||||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|Salinity|surface|718|11|2007|2019|TRUE|All|33|TRUE|-0.1307|-5.2572|0|5.4613|0.0652|-0.166666666666667|34.3333333333333|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|Salinity|surface|718|11|2007|2019|TRUE|1|32|TRUE|-0.1182|-3.2864|0.001|||-0.166666666666667|34.3333333333333|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|Salinity|surface|718|11|2007|2019|TRUE|2|34|TRUE|-0.1556|-4.1598|0|||-0.181818181818182|36.5454545454546|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|Salinity|surface|718|11|2007|2019|TRUE|3|34|TRUE|-0.0779|-0.9575|0.3383|||0|34|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255443081314700|Salinity|surface|136|3|2007|2011|FALSE|||||||||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255532081314300|Salinity|surface|130|2|2010|2011|FALSE|||||||||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|Salinity|surface|645|10|2008|2019|TRUE|All|36|TRUE|-0.0636|-3.2231|0.0013|16.5329|0.0003|-0.0454545454545455|36|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|Salinity|surface|645|10|2008|2019|TRUE|1|36|TRUE|-0.128|-3.4011|0.0007|||-0.158333333333333|38.2166666666667|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|Salinity|surface|645|10|2008|2019|TRUE|2|36|TRUE|-0.0492|-1.2365|0.2163|||0|36|-1
