AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve||||Turbidity||0|0|||FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve||||Turbidity||0|0|||FALSE|||||||||||
3|Apalachicola National Estuarine Research Reserve||||Turbidity||0|0|||FALSE|||||||||||
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|CMMerritt|Turbidity|surface|543|3|2015|2017|FALSE|||||||||||
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|All|6.2115931372549|TRUE|-0.348|-21.4037|0|70.7671|0|-1.66927083333333|31.0622373188406|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|1|8.43626136270833|TRUE|-0.3918|-6.8029|0|||-2.67068353333333|51.1671978960417|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|2|8.32770833333333|TRUE|-0.4612|-7.5675|0|||-2.847361134375|53.8854864833333|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|3|6.83541666666667|TRUE|-0.5158|-8.8694|0|||-4.39166666666667|77.1020833333333|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|4|4.13541666666667|TRUE|-0.6009|-10.3722|0|||-3.4986865942029|60.114402173913|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|5|3.1425|TRUE|-0.4012|-7.6307|0|||-1.35083333333333|24.7558333333333|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|6|3.32041666666667|TRUE|-0.3737|-6.9717|0|||-0.867361111111111|17.1981944444444|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|7|5.16375|TRUE|-0.4066|-7.7112|0|||-1.73483695652174|32.9211413043478|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|8|5.53|TRUE|-0.3902|-7.4423|0|||-1.47958333333333|29.2033333333333|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|9|7.070625|TRUE|-0.1246|-2.3501|0.0188|||-0.452291666666667|14.3072916666667|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|10|6.61416666666667|TRUE|-0.1392|-2.6694|0.0076|||-0.545625|15.3441666666667|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|11|7.6775|TRUE|-0.1531|-2.8799|0.004|||-1.12520833333333|25.6808333333333|-2
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Turbidity|surface|1752|10|2003|2021|TRUE|12|7.8|TRUE|-0.3332|-6.2095|0|||-1.61354166666667|33.6166666666667|-2
