AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Turbidity|bottom|306|2|2007|2008|FALSE|||||||||||
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Turbidity|bottom|84|1|2019|2019|FALSE|||||||||||
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Turbidity|bottom|46|1|2019|2019|FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|All|11.1822916666667|TRUE|0.0265|3.2101|0.0013|127.1163|0|0.0486111111111112|11.3839818962299|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|1|9.08333333333333|TRUE|0.2233|7.7913|0|||0.404399924220896|3.01733447001989|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|2|10.7135416666667|TRUE|0.0761|2.5308|0.0114|||0.145833333333333|8.52604166666667|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|3|14.4375|TRUE|-0.061|-2.1285|0.0333|||-0.184027777777778|17.3819444444444|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|4|15.0833333333333|TRUE|-0.0729|-2.5499|0.0108|||-0.202380952380952|18.1190476190476|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|5|13.1384904371585|TRUE|-0.0269|-0.9022|0.3669|||-0.0625|14.1384904371585|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|6|11.9683067375887|TRUE|-0.0045|-0.1533|0.8781|||-0.00694444444444429|12.0724734042553|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|7|11.1875|TRUE|-0.036|-1.2147|0.2245|||-0.0422149122807018|11.8629385964912|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|8|10.8848684210526|TRUE|-0.001|-0.0366|0.9708|||-0.00134378499440079|10.9050251959686|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|9|12.1979166666667|TRUE|-0.1017|-3.3038|0.001|||-0.246315124933546|15.6463284157363|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|10|9.41666666666667|TRUE|0.1656|5.5007|0|||0.299479166666667|5.22395833333333|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|11|7.67708333333333|TRUE|0.0999|3.4801|0.0005|||0.158854166666667|5.29427083333333|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|bottom|6258|21|2002|2022|TRUE|12|7.41666666666667|TRUE|0.049|1.7214|0.0852|||0.0689959490740741|6.38172743055556|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|All|14.3697916666667|TRUE|-0.1125|-13.8731|0|193.7829|0|-0.189803685897436|17.6336711638958|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|1|10.8854166666667|TRUE|0.1086|3.9344|0.0001|||0.194634543321553|8.16053306016492|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|2|13.1614583333333|TRUE|-0.1132|-3.974|0.0001|||-0.212890625|16.3548177083333|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|3|18.0729166666667|TRUE|-0.2255|-8.4013|0|||-0.493055555555555|24.9756944444444|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|4|19.6666666666667|TRUE|-0.1947|-6.8665|0|||-0.409505208333333|25.3997395833333|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|5|18.03125|TRUE|-0.0757|-2.7029|0.0069|||-0.135416666666667|19.9270833333333|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|6|18.7083333333333|TRUE|-0.0165|-0.5713|0.5678|||-0.0364583333333339|19.1822916666667|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|7|17.1702127659575|TRUE|-0.0286|-0.9204|0.3574|||-0.0672863816148389|17.9776493453355|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|8|16.8105263157895|TRUE|-0.017|-0.6236|0.5329|||-0.0342261904761905|17.2896929824561|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|9|14.5364583333333|TRUE|-0.1896|-6.7649|0|||-0.342040273556231|19.6670624366768|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|10|11.90625|TRUE|-0.1838|-6.4474|0|||-0.239583333333334|15.2604166666667|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|11|8.71875|TRUE|-0.3219|-11.3657|0|||-0.309659090909091|13.0539772727273|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|bottom|6732|24|1997|2022|TRUE|12|7.6875|TRUE|-0.0823|-2.985|0.0028|||-0.0745614035087719|8.73135964912281|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|bottom|8131|27|1996|2022|TRUE|All|9.4375|TRUE|-0.0837|-11.3084|0|182.7226|0|-0.104096950043549|9.38801058511986|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|bottom|8131|27|1996|2022|TRUE|1|7.94017857142857|TRUE|-0.0095|-0.3807|0.7034|||-0.011968085106383|8.08379559270517|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|bottom|8131|27|1996|2022|TRUE|2|11.3854166666667|TRUE|-0.1388|-5.4168|0|||-0.231570512820513|14.3958333333333|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|bottom|8131|27|1996|2022|TRUE|3|15.4166666666667|TRUE|-0.18|-7.1287|0|||-0.389583333333334|20.48125|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|bottom|8131|27|1996|2022|TRUE|4|16.7291666666667|TRUE|-0.1801|-7.1396|0|||-0.433333333333334|21.9291666666667|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|bottom|8131|27|1996|2022|TRUE|5|13.8958333333333|TRUE|-0.0698|-2.7423|0.0061|||-0.1328125|15.6223958333333|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|bottom|8131|27|1996|2022|TRUE|6|11.15625|TRUE|0.0884|3.3758|0.0007|||0.1346231162843|9.4061494883041|1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|bottom|8131|27|1996|2022|TRUE|7|10.9894736842105|TRUE|0.0103|0.4035|0.6866|||0.0148271276595743|10.8115481522956|1
