AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
3|Apalachicola National Estuarine Research Reserve||||Water Temperature||0|0|||FALSE|||||||||||
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|CMMerritt|Water Temperature|surface|1149|4|2014|2017|FALSE|||||||||||
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|All|25.8245833333333|TRUE|0.0806|5.4301|0|23.0051|0.0176|0.0376973684210528|23.4554481666667|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|1|17.0808333333333|TRUE|0.084|1.5903|0.1118|||0.0692659259259259|14.8643237037037|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|2|20.4095833333333|TRUE|0.0356|0.6386|0.5231|||0.0327430555555548|19.3618055555556|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|3|21.295|TRUE|0.2416|4.5349|0|||0.228591720779221|13.9800649350649|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|4|24.4275|TRUE|0.116|2.1873|0.0287|||0.0581755493221131|22.5658824216924|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|5|26.7175|TRUE|0.0748|1.5374|0.1242|||0.0302615384615385|25.7793923076923|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|6|29.0964583333333|TRUE|0.0518|1.0444|0.2963|||0.0169444444444444|28.5627083333333|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|7|30.2179166666667|TRUE|0.0021|0.0417|0.9667|||0.000416666666666288|30.2047916666667|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|8|30.4533333333333|TRUE|0.1081|2.2109|0.027|||0.0370541666666666|29.2676|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|9|29.1675|TRUE|0.089|1.8127|0.0699|||0.0340340909090908|28.1124431818182|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|Water Temperature|surface|2083|35|1987|2021|TRUE|10|26.85375|TRUE|0.1722|3.5591|0.0004|||0.0967|23.85605|1
