AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
3|Apalachicola National Estuarine Research Reserve||||Water Temperature||0|0|||FALSE|||||||||||
4|Banana River Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
5|Big Bend Seagrasses Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|Water Temperature|Surface|2522|8|2013|2020|FALSE|||||||||||
6|Biscayne Bay Aquatic Preserve|5077|Biscayne Bay Aquatic Preserves Continuous Water Quality Monitoring|BBBB14|Water Temperature|bottom|988|3|2019|2021|FALSE|||||||||||
6|Biscayne Bay Aquatic Preserve|5077|Biscayne Bay Aquatic Preserves Continuous Water Quality Monitoring|BBJT71|Water Temperature|bottom|1032|3|2019|2021|FALSE|||||||||||
6|Biscayne Bay Aquatic Preserve|5077|Biscayne Bay Aquatic Preserves Continuous Water Quality Monitoring|BBLR03|Water Temperature|bottom|911|3|2019|2021|FALSE|||||||||||
6|Biscayne Bay Aquatic Preserve|5077|Biscayne Bay Aquatic Preserves Continuous Water Quality Monitoring|BBMRDW|Water Temperature|bottom|272|1|2021|2021|FALSE|||||||||||
8|Boca Ciega Bay Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
9|Cape Haze Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
11|Cockroach Bay Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
13|Coupon Bight Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
14|Estero Bay Aquatic Preserve||||Water Temperature||0|0|||FALSE|||||||||||
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|Water Temperature|Surface|1800|6|2003|2008|FALSE|||||||||||
15|Florida Keys National Marine Sanctuary|5|National Data Buoy Center|KYWF1|Water Temperature|surface|5739|17|2005|2021|TRUE|All|27.1705882352941|TRUE|0.1565|17.6343|0|83.8395|0|0.0705615793586334|26.4567638363933|1
15|Florida Keys National Marine Sanctuary|5|National Data Buoy Center|KYWF1|Water Temperature|surface|5739|17|2005|2021|TRUE|1|22.3510416666667|TRUE|0.0359|1.1881|0.2348|||0.0256282793183707|22.0691305941646|1
15|Florida Keys National Marine Sanctuary|5|National Data Buoy Center|KYWF1|Water Temperature|surface|5739|17|2005|2021|TRUE|2|23.3660416666667|TRUE|0.3067|9.8482|0|||0.196789956784907|21.2013521420327|1
15|Florida Keys National Marine Sanctuary|5|National Data Buoy Center|KYWF1|Water Temperature|surface|5739|17|2005|2021|TRUE|3|24.5377551020408|TRUE|0.2963|9.7103|0|||0.177609778446326|22.5840475391312|1
15|Florida Keys National Marine Sanctuary|5|National Data Buoy Center|KYWF1|Water Temperature|surface|5739|17|2005|2021|TRUE|4|26.239224137931|TRUE|0.2242|7.083|0|||0.108489946417455|25.1543246737565|1
