AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
3|Apalachicola National Estuarine Research Reserve||||pH||0|0|||FALSE|||||||||||
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|CMMerritt|pH|surface|1149|4|2014|2017|FALSE|||||||||||
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|pH|surface|2067|35|1987|2021|TRUE|All|8.33773892375|TRUE|0.043|4.2929|0|302.2336|0|0.00476555478219645|7.98838509125|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|pH|surface|2067|35|1987|2021|TRUE|1|8.56979166666667|TRUE|-0.2121|-3.9703|0.0001|||-0.0358449074074071|9.71682870370369|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|pH|surface|2067|35|1987|2021|TRUE|2|8.455|TRUE|-0.3213|-5.7475|0|||-0.183750000000001|14.335|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|pH|surface|2067|35|1987|2021|TRUE|3|8.31416666666667|TRUE|-0.3966|-7.446|0|||-0.190572756410256|14.4124948717949|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|pH|surface|2067|35|1987|2021|TRUE|4|8.27145833333333|TRUE|-0.3117|-5.8616|0|||-0.0367828525641025|9.44850961538461|-1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|pH|surface|2067|35|1987|2021|TRUE|5|8.31083333333333|TRUE|0.2632|5.3837|0|||0.0166666666666666|7.7775|1
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|pH|surface|2067|35|1987|2021|TRUE|6|8.294306311875|TRUE|0.2136|4.2856|0|||0.0155208333333334|7.79763964520833|1
