AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
2|Apalachicola Bay Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
3|Apalachicola National Estuarine Research Reserve||||pH||0|0|||FALSE|||||||||||
4|Banana River Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
5|Big Bend Seagrasses Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
6|Biscayne Bay Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
8|Boca Ciega Bay Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
9|Cape Haze Aquatic Preserve||||pH||0|0|||FALSE|||||||||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|pH|bottom|6521|21|2002|2022|TRUE|All|7.82395833333333|TRUE|0.0254|3.108|0.0019|177.1723|0|0.000833333333333375|7.8211571557971|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|pH|bottom|6521|21|2002|2022|TRUE|1|7.92291666666667|TRUE|-0.0975|-3.4351|0.0006|||-0.00358796296296286|7.96956018518518|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|pH|bottom|6521|21|2002|2022|TRUE|2|7.87708333333333|TRUE|-0.022|-0.767|0.4431|||-0.000648886918833765|7.88486997635934|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|pH|bottom|6521|21|2002|2022|TRUE|3|7.8703125|TRUE|0.1655|5.7493|0|||0.00437499999999993|7.8221875|1
